cohort_period,user_count,host_count,listing_count,total_ltv,total_cac,ltv_cac_ratio
2021-08-08,10,1,4,115714.89,8820.41,13.11899220104281
2021-08-09,15,3,4,141200.91,12669.21,11.145202423829112
2021-08-10,10,0,0,0.00,7111.96,0.0
2021-08-11,6,1,2,63371.82,6196.60,10.226869573637154
2021-08-12,10,2,5,124340.28,10821.82,11.489775287336142
2021-08-13,10,2,4,70272.06,10102.94,6.955605002108297
2021-08-14,7,0,0,0.00,10897.16,0.0
2021-08-15,10,0,0,0.00,13042.15,0.0
2021-08-16,14,3,4,135333.45,15854.49,8.535969936592096
2021-08-17,11,1,2,61118.64,13854.76,4.411382080959901
2021-08-18,4,1,2,27894.00,7305.05,3.8184543569174747
2021-08-19,10,2,4,86500.92,8625.31,10.028731720946842
2021-08-20,6,2,4,107917.11,11240.97,9.600337871197949
2021-08-21,10,1,1,6905.37,9735.16,0.7093227024517317
2021-08-22,7,1,2,27801.18,11066.92,2.5120973134349938
2021-08-23,7,2,8,199060.50,8594.50,23.16138227936471
2021-08-24,14,2,3,101379.45,12841.95,7.894396878978659
2021-08-25,7,3,12,311033.49,9866.24,31.525027771471198
2021-08-26,6,5,11,265160.61,10091.66,26.27522231228559
2021-08-27,6,0,0,0.00,6579.08,0.0
2021-08-28,8,1,1,25592.16,11211.08,2.282755987826329
2021-08-29,11,0,0,0.00,9954.85,0.0
2021-08-30,10,3,8,169623.48,12268.81,13.825585366469936
2021-08-31,7,1,2,35755.38,8033.07,4.451023083329288
2021-09-01,13,1,2,37113.42,11545.74,3.2144687131357537
2021-09-02,7,0,0,0.00,9654.27,0.0
2021-09-03,6,2,5,158427.54,7773.64,20.380097354649816
2021-09-04,12,6,12,342443.52,9109.60,37.59149907789585
2021-09-05,7,2,4,66056.91,6951.11,9.503073609826345
2021-09-06,9,1,5,187208.49,12424.19,15.068063994513926
2021-09-07,8,2,3,99708.48,5491.04,18.15839622366619
2021-09-08,7,1,3,73948.05,8855.09,8.350908912275314
2021-09-09,9,1,2,62584.11,13447.47,4.653969110918262
2021-09-10,10,2,4,117137.34,8471.71,13.826882648249292
2021-09-11,8,1,2,61715.67,9797.29,6.299259284965536
2021-09-12,10,0,0,0.00,13578.60,0.0
2021-09-13,9,2,8,168746.19,11786.37,14.317061996187121
2021-09-14,6,2,6,146458.08,9173.71,15.964978182218536
2021-09-15,7,1,3,42407.88,7090.15,5.981238760816062
2021-09-16,9,1,1,13705.62,10474.44,1.3084823627802538
2021-09-17,8,4,9,179103.87,11223.17,15.958403018042139
2021-09-18,8,0,0,0.00,8197.11,0.0
2021-09-19,10,2,8,233469.39,13186.22,17.705558530041213
2021-09-20,2,1,3,73989.99,0.00,
2021-09-21,12,3,7,138417.33,11301.34,12.247868836792804
2021-09-22,12,2,4,85850.67,15468.39,5.5500714683299295
2021-09-23,11,1,5,114092.82,13077.75,8.724193381889087
2021-09-24,15,1,2,46270.65,16470.00,2.8093897996357016
2021-09-25,4,1,1,37893.81,4787.92,7.914461812227438
2021-09-26,8,0,0,0.00,11001.37,0.0
2021-09-28,6,2,5,116149.29,10147.13,11.446516404145804
2021-09-29,11,2,4,83208.66,12076.90,6.889902210004223
2021-09-30,9,2,4,123906.72,9574.98,12.940676638489062
2021-10-01,4,1,1,21253.59,6548.29,3.2456702436819382
2021-10-02,11,2,5,146760.09,13021.95,11.270208378929421
2021-10-03,12,1,2,62620.11,18271.94,3.427118849996224
2021-10-04,5,1,3,57461.19,9929.50,5.786916763180423
2021-10-05,10,1,2,71141.28,14081.91,5.051962411349028
2021-10-06,9,2,5,97229.61,15080.70,6.447287592751
2021-10-07,10,1,2,42782.04,15021.99,2.847960889336233
2021-10-08,12,2,2,62180.94,15847.47,3.923714006084252
2021-10-09,4,0,0,0.00,12311.48,0.0
2021-10-10,10,0,0,0.00,12386.35,0.0
2021-10-11,7,1,2,63337.26,12519.70,5.059007803701366
2021-10-12,9,0,0,0.00,10323.88,0.0
2021-10-13,7,2,4,116513.52,12248.07,9.51280650747424
2021-10-14,7,1,1,20796.03,13923.05,1.4936404020670757
2021-10-15,9,1,1,16089.81,16240.66,0.9907115843814229
2021-10-16,14,1,2,48773.58,12405.83,3.9315047844440882
2021-10-17,4,0,0,0.00,7225.49,0.0
2021-10-18,7,1,4,50064.36,12947.39,3.8667530676066764
2021-10-19,7,0,0,0.00,7164.90,0.0
2021-10-20,12,4,11,353462.10,13860.24,25.501874426416858
2021-10-21,7,1,1,38465.13,10401.16,3.6981577054866954
2021-10-22,8,0,0,0.00,9915.54,0.0
2021-10-23,6,2,5,133477.98,9339.27,14.292121332823658
2021-10-24,13,2,4,118663.65,13351.66,8.887557801801423
2021-10-25,11,2,3,54758.88,14615.16,3.7467177916629035
2021-10-26,9,4,13,333398.16,12025.35,27.724611757661936
2021-10-27,11,1,1,22835.97,9449.48,2.4166377409127278
2021-10-28,8,2,8,210619.56,14064.86,14.974877816060735
2021-10-29,9,1,2,49488.51,11611.30,4.262098989777201
2021-10-30,8,1,1,28090.50,6991.51,4.017801590786539
2021-10-31,7,1,4,85807.26,8834.30,9.712966505552222
2021-11-01,13,0,0,0.00,14473.25,0.0
2021-11-02,6,1,1,26521.80,8683.62,3.0542331423991373
2021-11-03,7,2,3,114399.42,9846.73,11.61801125855995
2021-11-04,2,0,0,0.00,2218.19,0.0
2021-11-05,6,2,6,130807.08,9175.59,14.255985718629537
2021-11-06,6,1,3,56070.36,7716.83,7.265983570974091
2021-11-07,5,2,3,74815.92,7113.86,10.516923301836135
2021-11-08,7,0,0,0.00,10112.63,0.0
2021-11-09,7,0,0,0.00,8320.56,0.0
2021-11-10,7,4,8,208279.26,10714.59,19.438845536786754
2021-11-11,9,1,2,72223.41,8490.38,8.506499120180724
2021-11-12,10,3,9,235496.76,8974.78,26.239836519669563
2021-11-13,11,3,10,278834.70,8960.70,31.11751314071445
2021-11-14,9,0,0,0.00,9296.12,0.0
2021-11-15,9,1,1,19084.86,11897.02,1.6041714647869803
2021-11-16,11,2,6,136753.41,8167.43,16.743750482097795
2021-11-17,8,2,4,94176.93,11510.06,8.182140666512598
2021-11-18,13,1,1,14048.25,9044.86,1.5531749524039067
2021-11-19,5,1,2,77799.12,5376.04,14.471454825484928
2021-11-20,6,1,4,111494.10,9501.18,11.734763471484595
2021-11-21,5,1,1,32810.73,6755.12,4.8571646395622885
2021-11-22,13,1,3,49422.84,10387.18,4.758061379508201
2021-11-23,11,3,5,135476.58,11418.02,11.865155254588798
2021-11-24,6,1,1,48139.56,8486.02,5.672807747330315
2021-11-25,8,2,5,153588.12,7643.51,20.093925434780616
2021-11-26,11,1,3,58955.79,7457.28,7.905803456488157
2021-11-27,8,0,0,0.00,6277.53,0.0
2021-11-28,3,0,0,0.00,6671.44,0.0
2021-11-29,4,0,0,0.00,9340.32,0.0
2021-11-30,5,2,5,120433.74,5778.04,20.843355186187704
2021-12-01,5,2,4,146730.00,4416.49,33.22321572108167
2021-12-02,6,1,6,159984.09,7755.36,20.628841214334344
2021-12-03,3,2,3,93123.66,5294.72,17.588023540432733
2021-12-04,10,3,6,141064.35,11189.61,12.606726239788518
2021-12-05,9,1,2,14104.80,8572.62,1.6453312989494457
2021-12-06,6,0,0,0.00,8478.71,0.0
2021-12-07,4,2,4,107615.31,4201.84,25.611472592959274
2021-12-08,9,1,3,81564.09,9572.05,8.521068109757053
2021-12-09,9,1,1,45099.09,5944.90,7.586181432824774
2021-12-10,10,3,12,310685.19,8806.02,35.280999816034935
2021-12-11,13,1,4,71717.76,9026.09,7.945606569400482
2021-12-12,12,1,1,19884.90,11536.02,1.7237227397317274
2021-12-13,6,1,2,43822.32,13157.00,3.3307228091510224
2021-12-14,6,1,5,119497.23,9488.46,12.593954129542624
2021-12-15,6,2,3,55741.56,12930.12,4.3109855128954715
2021-12-16,9,3,8,149615.43,11988.11,12.480318415496686
2021-12-17,10,4,9,145231.08,14166.98,10.251378910678211
2021-12-18,13,1,1,49409.94,9335.81,5.292517735472337
2021-12-19,15,2,5,98256.90,13781.97,7.129379907226616
2021-12-20,8,3,9,179915.52,6081.16,29.585723776384768
2021-12-21,11,1,4,115398.00,11673.26,9.885670326883835
2021-12-22,9,2,4,86026.53,12135.12,7.089054743587208
2021-12-23,9,1,2,54410.13,7571.06,7.18659342284964
2021-12-24,10,3,4,81711.78,11410.70,7.160978730489803
2021-12-25,8,1,2,26078.25,14056.49,1.8552462243419232
2021-12-26,7,4,10,273617.79,9461.83,28.918062362143473
2021-12-27,8,1,1,36265.11,8726.42,4.1557832421542855
2021-12-28,6,3,6,129824.25,6882.49,18.86297691678448
2021-12-29,5,0,0,0.00,7748.76,0.0
2021-12-30,8,0,0,0.00,10198.42,0.0
2021-12-31,8,3,5,101491.53,10648.43,9.531126184799072
2022-01-01,3,0,0,0.00,7936.95,0.0
2022-01-02,13,3,7,153253.35,9214.27,16.63217487657731
2022-01-03,13,2,7,149513.04,11948.71,12.512902229613072
2022-01-04,5,0,0,0.00,8068.32,0.0
2022-01-05,11,2,3,60302.46,12029.33,5.012952508576953
2022-01-06,4,0,0,0.00,5906.19,0.0
2022-01-07,5,2,6,184045.32,7364.57,24.990640322517134
2022-01-08,8,3,4,100405.62,6761.88,14.84877282649204
2022-01-09,10,1,4,90644.97,11514.65,7.872142878854329
2022-01-10,6,2,5,88396.05,7543.93,11.717506657670471
2022-01-11,10,1,5,78366.48,10112.29,7.749627433548681
2022-01-12,9,3,4,140812.89,7069.04,19.91966235867954
2022-01-13,5,0,0,0.00,5770.61,0.0
2022-01-14,9,1,2,27622.23,11601.50,2.3809188467008577
2022-01-15,10,1,1,21925.50,9862.27,2.223169716505429
2022-01-16,8,2,4,67280.85,4084.16,16.473607792055162
2022-01-17,8,2,5,144029.64,9904.09,14.54244054728905
2022-01-18,3,0,0,0.00,5787.70,0.0
2022-01-19,12,1,1,28232.31,3849.92,7.333219911063087
2022-01-20,9,2,7,151883.46,6784.10,22.3881517076694
2022-01-21,8,2,6,126173.16,9149.68,13.789898663122644
2022-01-22,7,1,3,85249.11,6851.83,12.44180167925941
2022-01-23,6,2,4,101770.86,4489.20,22.67015503875969
2022-01-24,9,2,4,56481.09,6539.83,8.636476789152011
2022-01-25,9,4,7,145929.27,10068.62,14.49347278971696
2022-01-26,8,1,2,31475.58,6834.53,4.605375936604273
2022-01-27,6,0,0,0.00,5474.47,0.0
2022-01-28,7,0,0,0.00,9555.75,0.0
2022-01-29,5,2,2,71743.68,4861.03,14.75894614927289
2022-01-30,4,0,0,0.00,7554.10,0.0
2022-01-31,9,3,6,146540.10,11300.86,12.967163561003321
2022-02-01,12,3,8,158466.72,12245.19,12.941140153807332
2022-02-02,5,1,2,48543.30,10829.67,4.482435752889978
2022-02-03,6,2,4,128625.06,6134.03,20.969095358190295
2022-02-04,10,0,0,0.00,6940.01,0.0
2022-02-05,5,1,1,33991.80,5886.45,5.774584002242439
2022-02-06,9,1,6,97301.16,8465.02,11.494498536329507
2022-02-07,4,0,0,0.00,8692.99,0.0
2022-02-08,7,2,5,149308.23,6244.94,23.908673261872817
2022-02-09,10,3,4,145084.83,6409.85,22.634668517984036
2022-02-10,10,0,0,0.00,5919.43,0.0
2022-02-11,11,2,5,69453.54,9938.99,6.987987713037239
2022-02-12,6,1,1,27590.88,5230.57,5.274927971521269
2022-02-13,5,2,4,87442.65,5328.12,16.411539154523545
2022-02-14,7,1,1,7100.37,4342.18,1.635208581864409
2022-02-15,6,0,0,0.00,7481.26,0.0
2022-02-16,8,0,0,0.00,6122.98,0.0
2022-02-17,6,1,1,29755.98,5005.09,5.945143843567248
2022-02-18,8,1,2,49738.98,5111.21,9.731351284725143
2022-02-19,11,2,4,91277.52,8198.64,11.133251368519659
2022-02-20,9,3,9,216462.60,6703.52,32.2908859822899
2022-02-21,8,2,2,66788.97,7359.57,9.075118519152614
2022-02-22,6,2,10,305762.88,7965.78,38.384549912249646
2022-02-23,10,0,0,0.00,4539.26,0.0
2022-02-24,7,2,3,62920.59,8288.15,7.591632632131416
2022-02-25,8,1,3,58337.97,10682.53,5.4610630627763275
2022-02-26,12,4,13,352741.68,8103.41,43.53002995035423
2022-02-27,5,0,0,0.00,2224.80,0.0
2022-02-28,4,1,2,59565.51,6346.10,9.38616000378185
2022-03-01,8,1,1,33974.07,10973.66,3.0959652476931123
2022-03-02,11,1,3,63132.45,9120.95,6.921696753079448
2022-03-03,8,2,4,107315.82,2797.54,38.360781257819376
2022-03-04,11,0,0,0.00,6297.53,0.0
2022-03-05,3,1,5,129435.99,3584.86,36.10628866957148
2022-03-06,10,2,6,92920.74,10954.12,8.482720656702684
2022-03-07,7,2,5,93630.66,9778.74,9.574920695304304
2022-03-08,5,2,3,74284.50,8205.81,9.052671217101054
2022-03-09,10,2,3,36561.81,11914.22,3.0687539763408767
2022-03-10,10,3,8,153794.04,10070.22,15.272162872310636
2022-03-11,8,0,0,0.00,6142.85,0.0
2022-03-12,15,3,5,141531.15,10986.62,12.882137545487145
2022-03-13,4,0,0,0.00,6981.62,0.0
2022-03-14,7,1,4,59943.39,2759.76,21.720508305070005
2022-03-15,11,0,0,0.00,11358.68,0.0
2022-03-16,9,1,1,14044.53,3709.52,3.786077443981971
2022-03-17,8,1,4,93892.56,5716.74,16.424143830224917
2022-03-18,8,1,2,56543.28,9640.10,5.865424632524559
2022-03-19,4,1,2,39655.14,8945.04,4.433198733599849
2022-03-20,11,1,2,47157.96,15077.52,3.1277000461614377
2022-03-21,6,2,5,133209.93,12698.10,10.490540317055306
2022-03-22,11,2,4,94789.71,11395.16,8.318418521547745
2022-03-23,8,1,1,12603.36,10821.59,1.1646495570429114
2022-03-24,14,4,14,377756.34,15790.20,23.923467720484858
2022-03-25,6,0,0,0.00,2490.39,0.0
2022-03-26,13,1,2,37497.75,7008.81,5.350087960723718
2022-03-27,8,1,1,13407.45,11095.17,1.2084041975021564
2022-03-28,8,2,6,113377.41,9771.94,11.602344058600442
2022-03-29,11,1,2,36291.00,10138.99,3.579350605928204
2022-03-30,6,0,0,0.00,6014.07,0.0
2022-03-31,9,2,4,109040.52,10379.46,10.505413576428833
2022-04-01,5,0,0,0.00,8876.59,0.0
2022-04-02,10,4,11,278517.33,14672.42,18.982371687833364
2022-04-03,7,1,3,73587.81,8932.54,8.238173016857466
2022-04-04,9,3,5,151210.26,7742.90,19.528892275504013
2022-04-05,12,1,1,42291.87,18056.44,2.3422042218731933
2022-04-06,7,2,4,78466.71,8491.56,9.240552972598676
2022-04-07,7,1,3,65600.58,8015.67,8.184042007717384
2022-04-08,3,0,0,0.00,8581.19,0.0
2022-04-09,8,1,2,44468.10,12540.54,3.5459477821529215
2022-04-10,11,2,4,118997.94,12767.70,9.320233088183462
2022-04-11,10,1,1,11380.32,17051.75,0.6673989473221223
2022-04-12,8,2,4,119257.77,11443.43,10.421505615012283
2022-04-13,15,2,5,112900.71,15964.99,7.071768287985148
2022-04-14,10,2,2,68663.10,13667.82,5.0237053165757235
2022-04-15,10,3,7,215517.57,7719.88,27.91721762514443
2022-04-16,11,1,2,51225.84,8728.01,5.869131680646562
2022-04-17,10,3,7,184934.91,8040.63,23.000052234712953
2022-04-18,10,2,6,120216.72,14667.58,8.196084152941385
2022-04-19,13,2,4,105998.76,15527.45,6.826540095121864
2022-04-20,10,2,6,181420.59,9542.75,19.011353121479658
2022-04-21,11,1,1,8827.62,17277.28,0.5109380643249402
2022-04-22,10,0,0,0.00,11088.01,0.0
2022-04-23,9,2,8,177581.28,14261.06,12.452179571504503
2022-04-24,13,2,6,209565.81,12502.26,16.762234188058798
2022-04-25,6,3,9,261267.09,5432.77,48.09095360193786
2022-04-26,5,0,0,0.00,3953.24,0.0
2022-04-27,7,3,6,146589.12,6789.18,21.59157954274301
2022-04-28,7,0,0,0.00,5191.91,0.0
2022-04-29,7,1,3,91360.92,13862.00,6.590745924109075
2022-04-30,12,3,4,108955.05,12121.72,8.988415010411064
2022-05-01,7,1,4,126702.45,9442.30,13.418600341018609
2022-05-02,9,2,3,120828.36,4766.20,25.351088917796147
2022-05-03,8,1,1,8172.75,12255.69,0.6668535186513366
2022-05-04,8,2,6,170271.99,4563.19,37.3142450785525
2022-05-05,11,4,14,415633.08,11367.43,36.56350467959776
2022-05-06,14,3,8,129228.24,14523.48,8.897883978220097
2022-05-07,8,3,7,146936.64,10532.45,13.950850941613774
2022-05-08,8,2,4,69564.33,7938.40,8.763016476871915
2022-05-09,12,1,4,91491.51,17218.69,5.313500039782353
2022-05-10,7,1,1,4593.33,8509.65,0.539778956831362
2022-05-11,8,3,8,215403.03,6953.08,30.97951267639665
2022-05-12,12,2,5,171023.85,8382.17,20.403290556025468
2022-05-13,8,1,2,25203.72,7181.09,3.5097345946088967
2022-05-14,10,3,4,88007.04,13563.43,6.488553411637026
2022-05-15,4,2,6,113117.28,1799.54,62.85899729930983
2022-05-16,13,3,8,166247.49,11439.23,14.533101441268338
2022-05-17,5,2,6,88622.04,8017.29,11.053864834626163
2022-05-18,6,0,0,0.00,7902.54,0.0
2022-05-19,7,0,0,0.00,9056.97,0.0
2022-05-20,5,1,1,26785.08,9200.67,2.9112097271176993
2022-05-21,5,0,0,0.00,8092.73,0.0
2022-05-22,10,2,4,129832.50,8852.15,14.666775868009466
2022-05-23,6,0,0,0.00,9309.17,0.0
2022-05-24,6,2,4,72708.48,4191.20,17.34789081885856
2022-05-25,2,1,1,12869.73,5882.86,2.1876655232318973
2022-05-26,12,3,7,186811.29,11103.50,16.82454091052371
2022-05-27,8,2,5,102325.68,6990.18,14.638489995965768
2022-05-28,7,1,1,32881.38,7318.96,4.4926301004514295
2022-05-29,5,1,2,16655.07,6677.53,2.494196207280237
2022-05-30,7,2,6,201588.93,13651.97,14.76628867482129
2022-05-31,10,1,4,83864.73,4565.50,18.369232285620413
2022-06-01,8,2,4,76409.82,5059.39,15.102575606940759
2022-06-02,11,1,1,46487.04,10520.56,4.41868493692351
2022-06-03,6,1,1,21054.69,8429.04,2.4978752028700772
2022-06-04,12,0,0,0.00,4659.04,0.0
2022-06-05,5,0,0,0.00,12562.01,0.0
2022-06-06,9,4,7,198242.64,12999.51,15.250008654172351
2022-06-07,7,1,1,37231.38,8886.75,4.189538357667313
2022-06-08,8,1,3,42453.39,17792.27,2.386058102760356
2022-06-09,10,1,3,47119.65,12657.76,3.7225899369240687
2022-06-10,7,3,4,116922.12,7813.51,14.964096801565493
2022-06-11,10,0,0,0.00,8260.62,0.0
2022-06-12,4,0,0,0.00,14757.35,0.0
2022-06-13,9,1,2,58586.55,10531.81,5.562818736760349
2022-06-14,9,1,2,59045.73,8966.25,6.585331660393141
2022-06-15,9,3,4,106103.19,7898.40,13.433504254026133
2022-06-16,11,2,6,161777.58,17151.22,9.432424049134696
2022-06-17,7,0,0,0.00,3292.57,0.0
2022-06-18,7,1,4,98286.09,10152.22,9.681241147256463
2022-06-19,6,0,0,0.00,5750.59,0.0
2022-06-20,5,3,5,128399.22,8789.93,14.607536123723397
2022-06-21,11,2,3,56014.71,14941.56,3.748919791507714
2022-06-22,10,3,7,175756.62,9583.98,18.338583761652256
2022-06-23,11,1,1,27871.29,7406.36,3.7631562602952062
2022-06-24,9,1,4,107174.10,9080.36,11.802847023686285
2022-06-25,8,2,5,87673.47,17309.39,5.065081438456237
2022-06-26,6,1,1,9453.66,9612.74,0.9834511283983547
2022-06-27,3,0,0,0.00,8686.17,0.0
2022-06-28,3,0,0,0.00,7382.11,0.0
2022-06-29,11,0,0,0.00,8315.88,0.0
2022-06-30,11,4,4,115512.36,10813.57,10.682166943941732
2022-07-01,9,2,8,179980.44,15185.90,11.851812536629375
2022-07-02,10,1,2,84446.61,18172.83,4.6468607255997
2022-07-03,6,1,4,74408.40,8725.06,8.528124734958842
2022-07-04,5,1,5,93546.12,7351.08,12.72549339688862
2022-07-05,8,1,3,87852.93,10469.52,8.391304472411342
2022-07-06,4,1,3,114882.96,5375.61,21.371148576626656
2022-07-07,9,0,0,0.00,9373.11,0.0
2022-07-08,5,2,5,94280.61,2243.32,42.02726762120428
2022-07-09,8,0,0,0.00,11070.95,0.0
2022-07-10,5,0,0,0.00,13788.28,0.0
2022-07-11,9,1,1,25719.00,7073.43,3.6360012045075725
2022-07-12,7,1,2,74924.01,7948.93,9.425672386094732
2022-07-13,16,4,6,100930.77,19413.70,5.19894558996997
2022-07-14,11,2,3,51261.66,16002.47,3.2033592314186503
2022-07-15,3,0,0,0.00,3541.98,0.0
2022-07-16,9,2,7,170197.02,12354.93,13.775636122584263
2022-07-17,9,1,2,22914.51,7353.04,3.1163314765049557
2022-07-18,7,1,2,55496.34,11130.31,4.9860551952281655
2022-07-19,6,1,2,46657.80,3113.20,14.987087241423618
2022-07-20,17,1,2,19647.00,18063.42,1.0876677838415982
2022-07-21,7,1,1,17993.31,14271.09,1.2608224038948672
2022-07-22,3,1,3,80636.88,6557.69,12.29653734775508
2022-07-23,11,4,13,292298.13,12540.66,23.308034026917245
2022-07-24,5,1,2,46190.34,2600.48,17.76223620254722
2022-07-25,10,2,4,103979.76,19882.29,5.22976779837735
2022-07-26,8,1,2,41981.34,11358.37,3.696070827064094
2022-07-27,10,3,11,285759.93,4131.31,69.16932643640878
2022-07-28,6,0,0,0.00,9635.54,0.0
2022-07-29,10,0,0,0.00,13429.76,0.0
2022-07-30,3,0,0,0.00,4690.73,0.0
2022-07-31,8,2,4,141761.55,12580.62,11.26824830572738
2022-08-01,4,0,0,0.00,9225.73,0.0
2022-08-02,6,1,3,61605.63,6315.18,9.75516612353092
2022-08-03,8,1,3,86141.73,12370.12,6.963693965782062
2022-08-04,7,1,2,85654.92,9647.23,8.878706115641485
2022-08-05,6,1,1,39747.00,2902.42,13.694434299653393
2022-08-06,7,1,4,128509.26,15212.56,8.447576213339504
2022-08-07,4,0,0,0.00,6658.13,0.0
2022-08-08,11,3,4,111964.92,10570.49,10.592216633287578
2022-08-09,9,0,0,0.00,2854.59,0.0
2022-08-10,5,1,3,70746.81,9090.19,7.78276471668909
2022-08-11,7,0,0,0.00,10961.77,0.0
2022-08-12,11,3,7,229519.26,14242.13,16.11551502478913
2022-08-13,9,0,0,0.00,5033.21,0.0
2022-08-14,6,2,5,113029.89,6050.87,18.679940239998547
2022-08-15,3,0,0,0.00,8860.30,0.0
2022-08-16,7,1,2,61067.73,11645.81,5.243751186048889
2022-08-17,6,2,5,105613.98,10374.16,10.18048497420514
2022-08-18,6,2,3,53051.34,2938.65,18.05296309529886
2022-08-19,6,1,3,143325.78,6035.91,23.745513104072128
2022-08-20,11,1,1,44647.68,10397.79,4.293958620052915
2022-08-21,8,2,5,152531.85,11185.79,13.636216127783554
2022-08-22,13,5,9,210348.69,14264.05,14.746771779403467
2022-08-23,10,1,1,19866.84,10806.98,1.8383341136931872
2022-08-24,12,2,2,40588.53,15904.94,2.5519448674436997
2022-08-25,4,2,3,70701.57,4314.74,16.386055706716977
2022-08-26,10,2,4,115978.65,8837.39,13.123631524692245
2022-08-27,6,0,0,0.00,11557.60,0.0
2022-08-28,7,2,3,57612.39,13007.76,4.429078488532999
2022-08-29,7,0,0,0.00,11405.95,0.0
2022-08-30,10,1,2,61465.98,10257.60,5.992237950397754
