date,campaign_id,campaign_name,channel,spend_amount,impressions,attributed_signups
2021-06-08,C0476,facebook_0476,facebook,448.76,35289,3
2021-06-08,C0700,google_display_0700,google_display,727.87,200458,1
2021-06-09,C0090,tiktok_0090,tiktok,318.24,54711,0
2021-06-09,C0190,tiktok_0190,tiktok,731.83,91899,0
2021-06-09,C0476,facebook_0476,facebook,408.41,38302,1
2021-06-09,C0700,google_display_0700,google_display,488.41,166582,0
2021-06-10,C0003,instagram_0003,instagram,595.17,53311,0
2021-06-10,C0090,tiktok_0090,tiktok,260.71,33969,1
2021-06-10,C0190,tiktok_0190,tiktok,238.26,24410,0
2021-06-10,C0476,facebook_0476,facebook,391.31,31468,1
2021-06-10,C0700,google_display_0700,google_display,832.22,227950,1
2021-06-11,C0003,instagram_0003,instagram,598.76,38533,3
2021-06-11,C0090,tiktok_0090,tiktok,265.03,27057,0
2021-06-11,C0190,tiktok_0190,tiktok,364.41,36861,0
2021-06-11,C0476,facebook_0476,facebook,429.27,34324,3
2021-06-11,C0700,google_display_0700,google_display,954.04,451252,4
2021-06-12,C0003,instagram_0003,instagram,508.13,54433,0
2021-06-12,C0090,tiktok_0090,tiktok,248.74,36474,0
2021-06-12,C0190,tiktok_0190,tiktok,135.78,30794,0
2021-06-12,C0441,facebook_0441,facebook,271.93,23532,2
2021-06-12,C0476,facebook_0476,facebook,341.13,26169,1
2021-06-12,C0700,google_display_0700,google_display,537.59,107319,0
2021-06-13,C0003,instagram_0003,instagram,574.06,56360,0
2021-06-13,C0090,tiktok_0090,tiktok,303.17,38510,1
2021-06-13,C0190,tiktok_0190,tiktok,544.79,100863,0
2021-06-13,C0441,facebook_0441,facebook,364.40,43908,0
2021-06-13,C0476,facebook_0476,facebook,455.34,32854,0
2021-06-13,C0700,google_display_0700,google_display,439.83,207060,0
2021-06-14,C0003,instagram_0003,instagram,553.08,43179,1
2021-06-14,C0090,tiktok_0090,tiktok,297.87,68449,1
2021-06-14,C0190,tiktok_0190,tiktok,276.21,37510,0
2021-06-14,C0441,facebook_0441,facebook,277.69,45289,1
2021-06-14,C0476,facebook_0476,facebook,265.50,21269,0
2021-06-14,C0556,facebook_0556,facebook,683.52,62571,0
2021-06-14,C0700,google_display_0700,google_display,1011.76,191558,1
2021-06-15,C0003,instagram_0003,instagram,500.81,34969,0
2021-06-15,C0090,tiktok_0090,tiktok,291.13,33460,0
2021-06-15,C0190,tiktok_0190,tiktok,309.06,58416,0
2021-06-15,C0441,facebook_0441,facebook,304.15,49881,2
2021-06-15,C0476,facebook_0476,facebook,407.31,33689,0
2021-06-15,C0556,facebook_0556,facebook,704.48,55092,0
2021-06-15,C0700,google_display_0700,google_display,962.81,191342,2
2021-06-15,C0714,google_search_0714,google_search,646.04,32879,4
2021-06-16,C0003,instagram_0003,instagram,506.98,50521,1
2021-06-16,C0090,tiktok_0090,tiktok,291.21,32219,1
2021-06-16,C0190,tiktok_0190,tiktok,689.81,142763,0
2021-06-16,C0441,facebook_0441,facebook,366.14,59371,0
2021-06-16,C0476,facebook_0476,facebook,309.83,45584,0
2021-06-16,C0556,facebook_0556,facebook,546.51,79095,0
2021-06-16,C0700,google_display_0700,google_display,720.34,136142,0
2021-06-16,C0714,google_search_0714,google_search,390.95,13235,5
2021-06-17,C0003,instagram_0003,instagram,502.15,48599,1
2021-06-17,C0090,tiktok_0090,tiktok,320.30,47218,0
2021-06-17,C0190,tiktok_0190,tiktok,304.54,42597,0
2021-06-17,C0441,facebook_0441,facebook,298.60,43151,2
2021-06-17,C0476,facebook_0476,facebook,355.52,49920,0
2021-06-17,C0556,facebook_0556,facebook,588.59,96901,0
2021-06-17,C0700,google_display_0700,google_display,899.03,400990,0
2021-06-17,C0714,google_search_0714,google_search,633.07,21743,3
2021-06-18,C0003,instagram_0003,instagram,505.79,53746,1
2021-06-18,C0090,tiktok_0090,tiktok,317.29,35597,0
2021-06-18,C0190,tiktok_0190,tiktok,736.29,174521,0
2021-06-18,C0373,tiktok_0373,tiktok,326.09,38698,0
2021-06-18,C0441,facebook_0441,facebook,283.32,27212,2
2021-06-18,C0466,facebook_0466,facebook,419.12,55078,0
2021-06-18,C0476,facebook_0476,facebook,307.89,33837,0
2021-06-18,C0556,facebook_0556,facebook,687.54,67287,0
2021-06-18,C0700,google_display_0700,google_display,1044.56,302017,1
2021-06-18,C0714,google_search_0714,google_search,676.44,21245,3
2021-06-19,C0003,instagram_0003,instagram,554.23,38234,0
2021-06-19,C0090,tiktok_0090,tiktok,283.65,63186,0
2021-06-19,C0190,tiktok_0190,tiktok,552.85,129477,0
2021-06-19,C0373,tiktok_0373,tiktok,339.95,52137,0
2021-06-19,C0441,facebook_0441,facebook,379.22,33825,0
2021-06-19,C0466,facebook_0466,facebook,354.11,34659,0
2021-06-19,C0476,facebook_0476,facebook,381.52,31683,0
2021-06-19,C0556,facebook_0556,facebook,684.79,53351,0
2021-06-19,C0700,google_display_0700,google_display,1021.15,296594,1
2021-06-19,C0714,google_search_0714,google_search,627.93,27493,1
2021-06-20,C0003,instagram_0003,instagram,451.13,34590,4
2021-06-20,C0090,tiktok_0090,tiktok,299.22,39848,0
2021-06-20,C0190,tiktok_0190,tiktok,483.46,97863,0
2021-06-20,C0373,tiktok_0373,tiktok,315.68,62069,0
2021-06-20,C0441,facebook_0441,facebook,289.43,24007,0
2021-06-20,C0466,facebook_0466,facebook,368.51,28948,0
2021-06-20,C0476,facebook_0476,facebook,341.97,56545,0
2021-06-20,C0556,facebook_0556,facebook,464.29,40005,0
2021-06-20,C0700,google_display_0700,google_display,686.38,139733,2
2021-06-20,C0714,google_search_0714,google_search,512.71,19271,2
2021-06-21,C0003,instagram_0003,instagram,518.44,42391,0
2021-06-21,C0090,tiktok_0090,tiktok,267.63,55558,0
2021-06-21,C0190,tiktok_0190,tiktok,719.20,74706,0
2021-06-21,C0373,tiktok_0373,tiktok,354.29,36637,0
2021-06-21,C0441,facebook_0441,facebook,334.11,24717,1
2021-06-21,C0466,facebook_0466,facebook,375.95,30700,0
2021-06-21,C0476,facebook_0476,facebook,328.64,24146,0
2021-06-21,C0556,facebook_0556,facebook,520.84,54980,0
2021-06-21,C0700,google_display_0700,google_display,466.90,205192,0
2021-06-21,C0714,google_search_0714,google_search,433.21,15657,2
2021-06-22,C0003,instagram_0003,instagram,545.39,58751,1
2021-06-22,C0090,tiktok_0090,tiktok,286.79,50414,0
2021-06-22,C0190,tiktok_0190,tiktok,800.77,81774,0
2021-06-22,C0373,tiktok_0373,tiktok,288.58,41967,0
2021-06-22,C0441,facebook_0441,facebook,266.21,32725,0
2021-06-22,C0466,facebook_0466,facebook,523.41,38658,0
2021-06-22,C0476,facebook_0476,facebook,268.08,24584,0
2021-06-22,C0556,facebook_0556,facebook,660.92,47895,0
2021-06-22,C0700,google_display_0700,google_display,890.93,175328,1
2021-06-22,C0714,google_search_0714,google_search,603.69,21362,1
2021-06-23,C0003,instagram_0003,instagram,459.01,32136,0
2021-06-23,C0090,tiktok_0090,tiktok,262.85,41146,1
2021-06-23,C0190,tiktok_0190,tiktok,453.03,52600,0
2021-06-23,C0373,tiktok_0373,tiktok,293.45,33357,0
2021-06-23,C0440,instagram_0440,instagram,414.50,26326,0
2021-06-23,C0441,facebook_0441,facebook,293.58,44817,0
2021-06-23,C0466,facebook_0466,facebook,401.03,56249,0
2021-06-23,C0476,facebook_0476,facebook,348.17,51456,0
2021-06-23,C0556,facebook_0556,facebook,612.48,44025,0
2021-06-23,C0700,google_display_0700,google_display,843.10,177154,2
2021-06-23,C0714,google_search_0714,google_search,466.01,16165,1
2021-06-24,C0003,instagram_0003,instagram,611.16,41221,1
2021-06-24,C0090,tiktok_0090,tiktok,318.96,54767,1
2021-06-24,C0096,google_display_0096,google_display,314.15,134063,1
2021-06-24,C0190,tiktok_0190,tiktok,248.76,45227,0
2021-06-24,C0373,tiktok_0373,tiktok,317.42,40758,0
2021-06-24,C0440,instagram_0440,instagram,316.99,20662,0
2021-06-24,C0441,facebook_0441,facebook,420.83,39884,3
2021-06-24,C0466,facebook_0466,facebook,512.24,83104,0
2021-06-24,C0476,facebook_0476,facebook,276.95,25290,0
2021-06-24,C0556,facebook_0556,facebook,385.01,55987,0
2021-06-24,C0648,instagram_0648,instagram,314.08,34561,0
2021-06-24,C0700,google_display_0700,google_display,724.87,130077,1
2021-06-24,C0714,google_search_0714,google_search,679.68,30339,2
2021-06-25,C0003,instagram_0003,instagram,581.60,39344,0
2021-06-25,C0090,tiktok_0090,tiktok,298.81,48705,0
2021-06-25,C0096,google_display_0096,google_display,343.18,64088,1
2021-06-25,C0190,tiktok_0190,tiktok,145.54,15010,0
2021-06-25,C0373,tiktok_0373,tiktok,365.23,83737,0
2021-06-25,C0440,instagram_0440,instagram,360.41,29614,0
2021-06-25,C0441,facebook_0441,facebook,373.53,39425,1
2021-06-25,C0466,facebook_0466,facebook,467.66,67281,0
2021-06-25,C0476,facebook_0476,facebook,265.69,19072,0
2021-06-25,C0556,facebook_0556,facebook,699.22,67210,0
2021-06-25,C0586,google_search_0586,google_search,590.56,19906,2
2021-06-25,C0648,instagram_0648,instagram,338.13,26510,0
2021-06-25,C0700,google_display_0700,google_display,621.99,184059,0
2021-06-25,C0714,google_search_0714,google_search,435.90,15350,0
2021-06-26,C0003,instagram_0003,instagram,567.13,36786,0
2021-06-26,C0090,tiktok_0090,tiktok,265.20,38512,2
2021-06-26,C0096,google_display_0096,google_display,616.28,113068,2
2021-06-26,C0190,tiktok_0190,tiktok,389.23,60894,0
2021-06-26,C0277,facebook_0277,facebook,297.85,26030,2
2021-06-26,C0373,tiktok_0373,tiktok,298.81,37899,0
2021-06-26,C0440,instagram_0440,instagram,398.59,37059,0
2021-06-26,C0441,facebook_0441,facebook,302.14,27894,0
2021-06-26,C0466,facebook_0466,facebook,339.01,33335,0
2021-06-26,C0476,facebook_0476,facebook,289.83,21246,0
2021-06-26,C0514,tiktok_0514,tiktok,390.17,65599,0
2021-06-26,C0556,facebook_0556,facebook,374.23,39664,0
2021-06-26,C0586,google_search_0586,google_search,650.21,35921,1
2021-06-26,C0648,instagram_0648,instagram,264.99,23430,0
2021-06-26,C0700,google_display_0700,google_display,603.40,148861,1
2021-06-26,C0714,google_search_0714,google_search,724.01,25089,1
2021-06-27,C0003,instagram_0003,instagram,492.53,42609,0
2021-06-27,C0090,tiktok_0090,tiktok,288.86,42623,1
2021-06-27,C0096,google_display_0096,google_display,542.07,189952,2
2021-06-27,C0190,tiktok_0190,tiktok,392.69,42562,0
2021-06-27,C0277,facebook_0277,facebook,679.26,80512,0
2021-06-27,C0373,tiktok_0373,tiktok,309.15,35212,0
2021-06-27,C0440,instagram_0440,instagram,356.50,23916,0
2021-06-27,C0441,facebook_0441,facebook,298.67,23733,0
2021-06-27,C0466,facebook_0466,facebook,384.35,40491,0
2021-06-27,C0476,facebook_0476,facebook,310.76,26828,0
2021-06-27,C0514,tiktok_0514,tiktok,266.64,29203,0
2021-06-27,C0556,facebook_0556,facebook,725.69,117991,0
2021-06-27,C0586,google_search_0586,google_search,497.29,16736,2
2021-06-27,C0648,instagram_0648,instagram,286.26,18653,0
2021-06-27,C0700,google_display_0700,google_display,418.36,139720,1
2021-06-27,C0714,google_search_0714,google_search,473.79,19283,0
2021-06-28,C0003,instagram_0003,instagram,555.40,45333,2
2021-06-28,C0090,tiktok_0090,tiktok,301.05,32312,1
2021-06-28,C0096,google_display_0096,google_display,390.01,79269,0
2021-06-28,C0190,tiktok_0190,tiktok,460.92,88392,0
2021-06-28,C0277,facebook_0277,facebook,306.28,29997,0
2021-06-28,C0373,tiktok_0373,tiktok,397.88,81283,0
2021-06-28,C0440,instagram_0440,instagram,323.18,24579,0
2021-06-28,C0441,facebook_0441,facebook,245.26,33640,0
2021-06-28,C0466,facebook_0466,facebook,362.23,44406,0
2021-06-28,C0476,facebook_0476,facebook,368.01,28682,0
2021-06-28,C0514,tiktok_0514,tiktok,581.87,141493,0
2021-06-28,C0556,facebook_0556,facebook,649.71,91703,0
2021-06-28,C0586,google_search_0586,google_search,139.91,4919,1
2021-06-28,C0648,instagram_0648,instagram,242.82,15340,0
2021-06-28,C0700,google_display_0700,google_display,961.19,259602,0
2021-06-28,C0714,google_search_0714,google_search,711.78,38242,3
2021-06-29,C0003,instagram_0003,instagram,512.42,39149,2
2021-06-29,C0090,tiktok_0090,tiktok,252.11,49873,1
2021-06-29,C0096,google_display_0096,google_display,360.89,78913,0
2021-06-29,C0190,tiktok_0190,tiktok,429.17,59307,0
2021-06-29,C0277,facebook_0277,facebook,342.41,56933,1
2021-06-29,C0373,tiktok_0373,tiktok,310.07,37876,0
2021-06-29,C0440,instagram_0440,instagram,312.07,39005,0
2021-06-29,C0441,facebook_0441,facebook,274.23,26875,0
2021-06-29,C0466,facebook_0466,facebook,413.43,39660,0
2021-06-29,C0476,facebook_0476,facebook,280.83,24311,0
2021-06-29,C0514,tiktok_0514,tiktok,352.71,54562,0
2021-06-29,C0556,facebook_0556,facebook,530.18,53517,0
2021-06-29,C0586,google_search_0586,google_search,704.00,22701,3
2021-06-29,C0648,instagram_0648,instagram,245.91,24133,0
2021-06-29,C0700,google_display_0700,google_display,575.36,252751,0
2021-06-29,C0714,google_search_0714,google_search,505.78,18989,2
2021-06-30,C0003,instagram_0003,instagram,518.10,35418,0
2021-06-30,C0090,tiktok_0090,tiktok,259.71,34125,0
2021-06-30,C0096,google_display_0096,google_display,533.54,106513,2
2021-06-30,C0190,tiktok_0190,tiktok,671.96,162504,0
2021-06-30,C0277,facebook_0277,facebook,263.28,35695,1
2021-06-30,C0373,tiktok_0373,tiktok,354.47,40730,0
2021-06-30,C0440,instagram_0440,instagram,280.59,30802,0
2021-06-30,C0466,facebook_0466,facebook,342.10,50702,0
2021-06-30,C0476,facebook_0476,facebook,289.82,23605,0
2021-06-30,C0514,tiktok_0514,tiktok,387.84,40115,0
2021-06-30,C0556,facebook_0556,facebook,573.54,63268,0
2021-06-30,C0586,google_search_0586,google_search,601.99,22692,2
2021-06-30,C0648,instagram_0648,instagram,187.16,12097,0
2021-06-30,C0700,google_display_0700,google_display,821.03,328450,1
2021-06-30,C0714,google_search_0714,google_search,453.05,15740,1
2021-07-01,C0003,instagram_0003,instagram,483.29,39885,1
2021-07-01,C0090,tiktok_0090,tiktok,292.94,57498,0
2021-07-01,C0096,google_display_0096,google_display,216.96,93311,1
2021-07-01,C0190,tiktok_0190,tiktok,408.87,75179,0
2021-07-01,C0277,facebook_0277,facebook,870.38,71137,0
2021-07-01,C0373,tiktok_0373,tiktok,320.25,40936,0
2021-07-01,C0440,instagram_0440,instagram,306.83,35860,0
2021-07-01,C0466,facebook_0466,facebook,355.95,56055,0
2021-07-01,C0476,facebook_0476,facebook,377.18,30416,0
2021-07-01,C0514,tiktok_0514,tiktok,333.35,65846,0
2021-07-01,C0556,facebook_0556,facebook,321.62,51128,0
2021-07-01,C0586,google_search_0586,google_search,396.19,18572,1
2021-07-01,C0635,google_display_0635,google_display,1064.83,470778,0
2021-07-01,C0648,instagram_0648,instagram,330.47,26267,0
2021-07-01,C0700,google_display_0700,google_display,609.55,104971,0
2021-07-01,C0707,google_display_0707,google_display,831.61,259212,0
2021-07-01,C0714,google_search_0714,google_search,362.99,18798,0
2021-07-02,C0003,instagram_0003,instagram,495.78,31123,1
2021-07-02,C0090,tiktok_0090,tiktok,320.51,64229,1
2021-07-02,C0096,google_display_0096,google_display,378.21,79024,0
2021-07-02,C0190,tiktok_0190,tiktok,389.95,39992,0
2021-07-02,C0277,facebook_0277,facebook,509.65,74030,1
2021-07-02,C0373,tiktok_0373,tiktok,319.76,35901,0
2021-07-02,C0440,instagram_0440,instagram,386.49,32518,0
2021-07-02,C0466,facebook_0466,facebook,369.66,44159,0
2021-07-02,C0476,facebook_0476,facebook,402.96,29577,0
2021-07-02,C0488,facebook_0488,facebook,801.36,79004,0
2021-07-02,C0514,tiktok_0514,tiktok,270.80,27172,0
2021-07-02,C0556,facebook_0556,facebook,427.73,39518,0
2021-07-02,C0586,google_search_0586,google_search,696.65,32815,2
2021-07-02,C0635,google_display_0635,google_display,574.45,112388,0
2021-07-02,C0648,instagram_0648,instagram,277.37,20263,0
2021-07-02,C0700,google_display_0700,google_display,780.06,165217,0
2021-07-02,C0707,google_display_0707,google_display,762.31,289394,0
2021-07-02,C0714,google_search_0714,google_search,531.84,27460,1
2021-07-03,C0003,instagram_0003,instagram,595.25,64399,1
2021-07-03,C0090,tiktok_0090,tiktok,270.18,65224,2
2021-07-03,C0096,google_display_0096,google_display,230.27,43023,0
2021-07-03,C0190,tiktok_0190,tiktok,372.95,92387,0
2021-07-03,C0277,facebook_0277,facebook,162.85,12643,0
2021-07-03,C0373,tiktok_0373,tiktok,387.91,62630,0
2021-07-03,C0440,instagram_0440,instagram,415.65,28297,0
2021-07-03,C0466,facebook_0466,facebook,336.07,25863,0
2021-07-03,C0476,facebook_0476,facebook,410.39,29506,0
2021-07-03,C0488,facebook_0488,facebook,864.51,85522,0
2021-07-03,C0514,tiktok_0514,tiktok,535.49,88461,0
2021-07-03,C0556,facebook_0556,facebook,567.45,42320,0
2021-07-03,C0586,google_search_0586,google_search,778.39,34441,3
2021-07-03,C0635,google_display_0635,google_display,437.46,73196,0
2021-07-03,C0648,instagram_0648,instagram,274.94,21554,0
2021-07-03,C0700,google_display_0700,google_display,776.44,136847,0
2021-07-03,C0707,google_display_0707,google_display,661.74,211474,0
2021-07-03,C0714,google_search_0714,google_search,470.40,18619,1
2021-07-04,C0003,instagram_0003,instagram,488.58,46796,0
2021-07-04,C0090,tiktok_0090,tiktok,263.35,64505,2
2021-07-04,C0096,google_display_0096,google_display,487.45,242867,2
2021-07-04,C0190,tiktok_0190,tiktok,632.03,68034,0
2021-07-04,C0277,facebook_0277,facebook,936.84,83209,2
2021-07-04,C0373,tiktok_0373,tiktok,311.36,43302,0
2021-07-04,C0440,instagram_0440,instagram,309.38,32547,0
2021-07-04,C0466,facebook_0466,facebook,479.56,51221,0
2021-07-04,C0476,facebook_0476,facebook,325.32,33300,0
2021-07-04,C0488,facebook_0488,facebook,557.72,60667,0
2021-07-04,C0514,tiktok_0514,tiktok,284.15,31334,0
2021-07-04,C0556,facebook_0556,facebook,526.68,62825,0
2021-07-04,C0586,google_search_0586,google_search,172.55,6725,1
2021-07-04,C0635,google_display_0635,google_display,431.34,85739,0
2021-07-04,C0648,instagram_0648,instagram,222.34,14823,0
2021-07-04,C0700,google_display_0700,google_display,394.06,101207,0
2021-07-04,C0707,google_display_0707,google_display,805.73,162807,0
2021-07-04,C0714,google_search_0714,google_search,512.02,17975,1
2021-07-05,C0003,instagram_0003,instagram,525.45,35059,1
2021-07-05,C0090,tiktok_0090,tiktok,261.45,28302,0
2021-07-05,C0096,google_display_0096,google_display,508.26,109751,0
2021-07-05,C0190,tiktok_0190,tiktok,759.10,154872,0
2021-07-05,C0277,facebook_0277,facebook,335.25,41250,2
2021-07-05,C0373,tiktok_0373,tiktok,333.28,47029,0
2021-07-05,C0440,instagram_0440,instagram,262.30,19062,0
2021-07-05,C0466,facebook_0466,facebook,400.33,36382,0
2021-07-05,C0476,facebook_0476,facebook,440.55,34715,0
2021-07-05,C0488,facebook_0488,facebook,355.64,58373,0
2021-07-05,C0514,tiktok_0514,tiktok,405.86,50476,0
2021-07-05,C0551,facebook_0551,facebook,386.99,34341,0
2021-07-05,C0556,facebook_0556,facebook,458.55,41683,0
2021-07-05,C0573,google_search_0573,google_search,591.43,22346,2
2021-07-05,C0586,google_search_0586,google_search,289.34,9150,0
2021-07-05,C0635,google_display_0635,google_display,706.08,125594,0
2021-07-05,C0648,instagram_0648,instagram,160.73,15591,0
2021-07-05,C0700,google_display_0700,google_display,880.20,416718,0
2021-07-05,C0707,google_display_0707,google_display,812.43,146841,0
2021-07-05,C0714,google_search_0714,google_search,712.07,34840,0
2021-07-06,C0003,instagram_0003,instagram,450.82,28976,2
2021-07-06,C0090,tiktok_0090,tiktok,299.30,52894,0
2021-07-06,C0096,google_display_0096,google_display,323.35,90879,1
2021-07-06,C0190,tiktok_0190,tiktok,273.61,37765,0
2021-07-06,C0277,facebook_0277,facebook,453.69,57660,0
2021-07-06,C0373,tiktok_0373,tiktok,370.69,64507,0
2021-07-06,C0440,instagram_0440,instagram,411.81,28717,0
2021-07-06,C0466,facebook_0466,facebook,452.47,50178,0
2021-07-06,C0488,facebook_0488,facebook,913.34,66740,0
2021-07-06,C0514,tiktok_0514,tiktok,330.45,61018,0
2021-07-06,C0551,facebook_0551,facebook,374.85,35892,0
2021-07-06,C0556,facebook_0556,facebook,658.66,90225,0
2021-07-06,C0573,google_search_0573,google_search,603.42,25271,0
2021-07-06,C0586,google_search_0586,google_search,430.36,23253,0
2021-07-06,C0635,google_display_0635,google_display,772.03,163245,1
2021-07-06,C0648,instagram_0648,instagram,229.69,27394,0
2021-07-06,C0700,google_display_0700,google_display,716.20,156880,1
2021-07-06,C0707,google_display_0707,google_display,263.33,53333,0
2021-07-06,C0714,google_search_0714,google_search,396.56,15070,0
2021-07-07,C0003,instagram_0003,instagram,599.42,51737,1
2021-07-07,C0090,tiktok_0090,tiktok,258.45,30708,0
2021-07-07,C0096,google_display_0096,google_display,549.41,273528,1
2021-07-07,C0190,tiktok_0190,tiktok,647.06,73990,0
2021-07-07,C0277,facebook_0277,facebook,671.80,87707,3
2021-07-07,C0373,tiktok_0373,tiktok,382.93,48773,0
2021-07-07,C0440,instagram_0440,instagram,374.32,25516,0
2021-07-07,C0466,facebook_0466,facebook,494.85,59535,0
2021-07-07,C0488,facebook_0488,facebook,644.46,80523,0
2021-07-07,C0514,tiktok_0514,tiktok,399.69,41748,0
2021-07-07,C0551,facebook_0551,facebook,348.21,27129,0
2021-07-07,C0556,facebook_0556,facebook,472.83,65372,0
2021-07-07,C0573,google_search_0573,google_search,277.65,9641,2
2021-07-07,C0586,google_search_0586,google_search,524.71,23172,0
2021-07-07,C0635,google_display_0635,google_display,870.69,164713,0
2021-07-07,C0648,instagram_0648,instagram,289.91,22350,0
2021-07-07,C0700,google_display_0700,google_display,1001.40,262564,0
2021-07-07,C0707,google_display_0707,google_display,895.08,195534,0
2021-07-07,C0714,google_search_0714,google_search,649.67,25936,0
2021-07-08,C0003,instagram_0003,instagram,457.26,56768,1
2021-07-08,C0090,tiktok_0090,tiktok,292.31,38380,1
2021-07-08,C0096,google_display_0096,google_display,222.89,77958,1
2021-07-08,C0190,tiktok_0190,tiktok,619.08,86675,0
2021-07-08,C0277,facebook_0277,facebook,369.36,33833,1
2021-07-08,C0373,tiktok_0373,tiktok,368.08,67988,0
2021-07-08,C0440,instagram_0440,instagram,333.09,39541,0
2021-07-08,C0466,facebook_0466,facebook,501.65,37252,0
2021-07-08,C0488,facebook_0488,facebook,813.44,62654,0
2021-07-08,C0514,tiktok_0514,tiktok,570.10,135602,0
2021-07-08,C0551,facebook_0551,facebook,494.37,66278,0
2021-07-08,C0556,facebook_0556,facebook,687.86,89406,0
2021-07-08,C0573,google_search_0573,google_search,316.35,11669,0
2021-07-08,C0586,google_search_0586,google_search,473.52,24637,0
2021-07-08,C0635,google_display_0635,google_display,1012.17,405536,1
2021-07-08,C0648,instagram_0648,instagram,204.58,18005,0
2021-07-08,C0700,google_display_0700,google_display,738.01,161744,1
2021-07-08,C0707,google_display_0707,google_display,238.43,57822,0
2021-07-08,C0714,google_search_0714,google_search,734.03,29207,0
2021-07-09,C0003,instagram_0003,instagram,581.31,63541,0
2021-07-09,C0090,tiktok_0090,tiktok,274.74,44170,0
2021-07-09,C0096,google_display_0096,google_display,360.51,104907,0
2021-07-09,C0190,tiktok_0190,tiktok,406.07,87719,0
2021-07-09,C0277,facebook_0277,facebook,826.93,71415,3
2021-07-09,C0373,tiktok_0373,tiktok,382.80,63252,0
2021-07-09,C0440,instagram_0440,instagram,261.58,18575,0
2021-07-09,C0466,facebook_0466,facebook,484.79,36402,0
2021-07-09,C0488,facebook_0488,facebook,1036.25,83908,1
2021-07-09,C0514,tiktok_0514,tiktok,482.86,87893,0
2021-07-09,C0551,facebook_0551,facebook,460.50,33412,0
2021-07-09,C0556,facebook_0556,facebook,484.56,41342,0
2021-07-09,C0573,google_search_0573,google_search,346.71,16840,1
2021-07-09,C0586,google_search_0586,google_search,661.14,32400,0
2021-07-09,C0600,instagram_0600,instagram,731.94,76089,0
2021-07-09,C0635,google_display_0635,google_display,1004.44,207111,0
2021-07-09,C0648,instagram_0648,instagram,284.51,25420,0
2021-07-09,C0700,google_display_0700,google_display,581.52,198249,0
2021-07-09,C0707,google_display_0707,google_display,849.97,201117,0
2021-07-09,C0714,google_search_0714,google_search,382.41,15261,0
2021-07-10,C0003,instagram_0003,instagram,541.85,62433,0
2021-07-10,C0090,tiktok_0090,tiktok,297.73,35751,0
2021-07-10,C0096,google_display_0096,google_display,576.47,112320,0
2021-07-10,C0160,facebook_0160,facebook,788.14,75613,1
2021-07-10,C0190,tiktok_0190,tiktok,818.31,172831,0
2021-07-10,C0277,facebook_0277,facebook,628.52,103101,0
