listing_id,host_user_id,status,city,state,monthly_price,listed_date,snapshot_date
L00023,U11261,active,Savannah,GA,183.32,2024-04-27,2024-04-27
L00023,U11261,inactive,Savannah,GA,183.32,2024-04-27,2026-04-13
L00023,U11261,inactive,Savannah,GA,183.32,2024-04-27,2026-05-25
L00024,U13010,active,Pittsburgh,PA,321.65,2021-10-05,2021-10-05
L00024,U13010,active,Pittsburgh,PA,321.65,2021-10-05,2026-05-25
L00025,U05546,active,Spokane,WA,396.21,2024-08-09,2024-08-09
L00025,U05546,active,Spokane,WA,396.21,2024-08-09,2026-05-25
L00026,U02689,active,Charlotte,NC,273.72,2025-11-23,2025-11-23
L00026,U02689,active,Charlotte,NC,273.72,2025-11-23,2026-05-25
L00027,U13432,active,Norfolk,VA,290.61,2022-11-12,2022-11-12
L00027,U13432,active,Norfolk,VA,290.61,2022-11-12,2026-05-25
L00028,U14455,active,Mesa,AZ,232.57,2026-01-05,2026-01-05
L00028,U14455,active,Mesa,AZ,232.57,2026-01-05,2026-05-25
L00029,U06345,active,Spokane,WA,158.26,2022-05-08,2022-05-08
L00029,U06345,active,Spokane,WA,158.26,2022-05-08,2026-05-25
L00030,U02896,active,Durham,NC,69.99,2023-09-11,2023-09-11
L00030,U02896,active,Durham,NC,69.99,2023-09-11,2026-05-25
L00031,U10524,active,Mesa,AZ,194.51,2024-10-23,2024-10-23
L00031,U10524,active,Mesa,AZ,194.51,2024-10-23,2026-05-25
L00032,U14518,active,San Antonio,TX,249.83,2022-07-06,2022-07-06
L00032,U14518,active,San Antonio,TX,249.83,2022-07-06,2026-05-25
L00033,U08679,active,Charlotte,NC,271.24,2025-12-01,2025-12-01
L00033,U08679,active,Charlotte,NC,271.24,2025-12-01,2026-05-25
L00034,U08865,active,San Antonio,TX,437.96,2025-04-19,2025-04-19
L00034,U08865,active,San Antonio,TX,437.96,2025-04-19,2026-05-25
L00035,U09406,active,Portland,OR,328.21,2025-07-14,2025-07-14
L00035,U09406,active,Portland,OR,328.21,2025-07-14,2026-05-25
L00036,U00791,active,Orlando,FL,162.95,2026-05-25,2026-05-25
L00037,U00377,active,Las Vegas,NV,53.07,2021-12-04,2021-12-04
L00037,U00377,active,Las Vegas,NV,53.07,2021-12-04,2026-05-25
L00038,U01437,active,Orlando,FL,256.60,2022-01-26,2022-01-26
L00038,U01437,active,Orlando,FL,256.60,2022-01-26,2026-05-25
L00039,U00583,active,Chicago,IL,289.25,2022-02-03,2022-02-03
L00039,U00583,active,Chicago,IL,289.25,2022-02-03,2026-05-25
L00040,U10033,active,Boston,MA,75.19,2024-02-21,2024-02-21
L00040,U10033,active,Boston,MA,75.19,2024-02-21,2026-05-25
L00041,U04740,active,Austin,TX,144.01,2024-09-15,2024-09-15
L00041,U04740,active,Austin,TX,144.01,2024-09-15,2026-05-25
L00042,U03291,active,Memphis,TN,336.19,2025-02-27,2025-02-27
L00042,U03291,active,Memphis,TN,336.19,2025-02-27,2026-05-25
L00043,U03859,active,Tacoma,WA,218.68,2024-07-27,2024-07-27
L00043,U03859,active,Tacoma,WA,218.68,2024-07-27,2026-05-25
L00044,U06517,active,Worcester,MA,107.74,2022-12-27,2022-12-27
L00044,U06517,active,Worcester,MA,107.74,2022-12-27,2026-05-25
L00045,U13636,active,San Francisco,CA,442.25,2024-08-25,2024-08-25
L00045,U13636,active,San Francisco,CA,442.25,2024-08-25,2026-05-25
L00046,U14620,active,Provo,UT,291.39,2026-02-22,2026-02-22
L00046,U14620,active,Provo,UT,291.39,2026-02-22,2026-05-25
L00047,U05918,active,Rochester,NY,110.20,2022-03-22,2022-03-22
L00047,U05918,active,Rochester,NY,110.20,2022-03-22,2026-05-25
L00048,U02307,active,Phoenix,AZ,142.13,2025-06-15,2025-06-15
L00048,U02307,active,Phoenix,AZ,142.13,2025-06-15,2026-05-25
L00049,U01755,active,Chicago,IL,357.03,2026-01-15,2026-01-15
L00049,U01755,active,Chicago,IL,357.03,2026-01-15,2026-05-25
L00050,U10763,active,Eugene,OR,100.85,2023-07-30,2023-07-30
L00050,U10763,active,Eugene,OR,100.85,2023-07-30,2026-05-25
L00051,U14861,active,Rochester,NY,110.75,2025-11-21,2025-11-21
L00051,U14861,active,Rochester,NY,110.75,2025-11-21,2026-05-25
L00052,U05609,active,Buffalo,NY,198.33,2025-04-14,2025-04-14
L00052,U05609,active,Buffalo,NY,198.33,2025-04-14,2026-05-25
L00053,U01294,active,Arlington,VA,350.97,2024-07-30,2024-07-30
L00053,U01294,active,Arlington,VA,350.97,2024-07-30,2026-05-25
L00054,U11350,active,Tampa,FL,109.90,2021-11-25,2021-11-25
L00054,U11350,active,Tampa,FL,109.90,2021-11-25,2026-05-25
L00055,U08626,active,Tacoma,WA,104.82,2025-02-26,2025-02-26
L00055,U08626,active,Tacoma,WA,104.82,2025-02-26,2026-05-25
L00056,U07093,active,Chicago,IL,393.92,2023-12-14,2023-12-14
L00056,U07093,active,Chicago,IL,393.92,2023-12-14,2026-05-25
L00057,U08417,active,Eugene,OR,211.21,2022-02-02,2022-02-02
L00057,U08417,active,Eugene,OR,211.21,2022-02-02,2026-05-25
L00058,U01043,active,Salt Lake City,UT,213.78,2026-04-10,2026-04-10
L00058,U01043,active,Salt Lake City,UT,213.78,2026-04-10,2026-05-25
L00059,U02954,active,Ann Arbor,MI,391.21,2022-08-28,2022-08-28
L00059,U02954,active,Ann Arbor,MI,391.21,2022-08-28,2026-05-25
L00060,U06225,active,Richmond,VA,50.82,2026-05-25,2026-05-25
L00061,U13966,active,Durham,NC,366.12,2025-10-31,2025-10-31
L00061,U13966,active,Durham,NC,366.12,2025-10-31,2026-05-25
L00062,U02230,active,Knoxville,TN,340.10,2024-05-07,2024-05-07
L00062,U02230,active,Knoxville,TN,340.10,2024-05-07,2026-05-25
L00063,U11297,active,Nashville,TN,85.29,2023-03-07,2023-03-07
L00063,U11297,active,Nashville,TN,85.29,2023-03-07,2026-05-25
L00064,U07807,active,Ann Arbor,MI,301.34,2025-10-19,2025-10-19
L00064,U07807,active,Ann Arbor,MI,301.34,2025-10-19,2026-05-25
L00065,U04599,active,Portland,OR,272.61,2024-12-08,2024-12-08
L00065,U04599,active,Portland,OR,272.61,2024-12-08,2026-05-25
L00066,U06663,active,Tucson,AZ,429.76,2024-08-18,2024-08-18
L00066,U06663,active,Tucson,AZ,429.76,2024-08-18,2026-05-25
L00067,U11863,active,Portland,OR,398.63,2023-07-25,2023-07-25
L00067,U11863,active,Portland,OR,398.63,2023-07-25,2026-05-25
L00068,U12902,active,Durham,NC,370.74,2023-12-13,2023-12-13
L00068,U12902,active,Durham,NC,370.74,2023-12-13,2026-05-25
L00069,U04822,active,Dallas,TX,138.80,2023-05-23,2023-05-23
L00069,U04822,active,Dallas,TX,138.80,2023-05-23,2026-05-25
L00070,U07637,active,Richmond,VA,192.31,2022-11-03,2022-11-03
L00070,U07637,active,Richmond,VA,192.31,2022-11-03,2026-05-25
L00071,U11485,active,Cleveland,OH,278.82,2022-05-27,2022-05-27
L00071,U11485,active,Cleveland,OH,278.82,2022-05-27,2026-05-25
L00072,U09638,active,Philadelphia,PA,189.50,2022-04-19,2022-04-19
L00072,U09638,active,Philadelphia,PA,189.50,2022-04-19,2026-05-25
L00073,U05874,active,Minneapolis,MN,192.33,2022-09-12,2022-09-12
L00073,U05874,active,Minneapolis,MN,192.33,2022-09-12,2026-05-25
L00074,U04726,active,Nashville,TN,129.99,2022-04-27,2022-04-27
L00074,U04726,active,Nashville,TN,129.99,2022-04-27,2026-05-25
L00075,U11075,active,San Diego,CA,379.81,2022-04-14,2022-04-14
L00075,U11075,active,San Diego,CA,379.81,2022-04-14,2026-05-25
L00076,U06671,active,San Diego,CA,445.42,2021-06-25,2021-06-25
L00076,U06671,active,San Diego,CA,445.42,2021-06-25,2026-05-25
L00077,U11863,active,Eugene,OR,278.76,2023-07-28,2023-07-28
L00077,U11863,active,Eugene,OR,278.76,2023-07-28,2026-05-25
L00078,U07786,active,Philadelphia,PA,153.60,2024-03-03,2024-03-03
L00078,U07786,active,Philadelphia,PA,153.60,2024-03-03,2026-05-25
L00079,U10286,active,Charlotte,NC,118.07,2022-02-01,2022-02-01
L00079,U10286,active,Charlotte,NC,118.07,2022-02-01,2026-05-25
L00080,U08866,active,Detroit,MI,177.17,2023-12-05,2023-12-05
L00080,U08866,active,Detroit,MI,177.17,2023-12-05,2026-05-25
L00081,U00806,active,Tucson,AZ,189.80,2025-12-16,2025-12-16
L00081,U00806,active,Tucson,AZ,189.80,2025-12-16,2026-05-25
L00082,U09191,active,Durham,NC,436.67,2026-05-25,2026-05-25
L00083,U00794,active,New York,NY,388.77,2025-10-13,2025-10-13
L00083,U00794,active,New York,NY,388.77,2025-10-13,2026-05-25
L00084,U05522,active,Spokane,WA,273.96,2026-04-02,2026-04-02
L00084,U05522,active,Spokane,WA,273.96,2026-04-02,2026-05-25
L00085,U13475,active,Boston,MA,273.95,2025-11-06,2025-11-06
L00085,U13475,active,Boston,MA,273.95,2025-11-06,2026-05-25
L00086,U02521,active,Atlanta,GA,225.29,2022-05-20,2022-05-20
L00086,U02521,active,Atlanta,GA,225.29,2022-05-20,2026-05-25
L00087,U01877,active,Atlanta,GA,75.42,2025-09-21,2025-09-21
L00087,U01877,active,Atlanta,GA,75.42,2025-09-21,2026-05-25
L00088,U01314,active,Pittsburgh,PA,411.75,2024-11-02,2024-11-02
L00088,U01314,active,Pittsburgh,PA,411.75,2024-11-02,2026-05-25
L00089,U10051,active,Atlanta,GA,170.46,2025-12-27,2025-12-27
L00089,U10051,active,Atlanta,GA,170.46,2025-12-27,2026-05-25
L00090,U14379,active,Reno,NV,66.00,2023-06-17,2023-06-17
L00090,U14379,active,Reno,NV,66.00,2023-06-17,2026-05-25
L00091,U01752,active,Houston,TX,224.26,2021-07-02,2021-07-02
L00091,U01752,active,Houston,TX,224.26,2021-07-02,2026-05-25
L00092,U14044,active,Richmond,VA,310.41,2024-07-29,2024-07-29
L00092,U14044,active,Richmond,VA,310.41,2024-07-29,2026-05-25
L00093,U06137,active,New York,NY,271.75,2024-04-27,2024-04-27
L00093,U06137,active,New York,NY,271.75,2024-04-27,2026-05-25
L00094,U01433,active,Cincinnati,OH,347.03,2025-02-28,2025-02-28
L00094,U01433,active,Cincinnati,OH,347.03,2025-02-28,2026-05-25
L00095,U10042,active,Reno,NV,431.63,2024-11-19,2024-11-19
L00095,U10042,active,Reno,NV,431.63,2024-11-19,2026-05-25
L00096,U00885,active,Grand Rapids,MI,395.18,2021-09-22,2021-09-22
L00096,U00885,active,Grand Rapids,MI,395.18,2021-09-22,2026-05-25
L00097,U02084,active,Denver,CO,94.75,2025-06-26,2025-06-26
L00097,U02084,active,Denver,CO,94.75,2025-06-26,2026-05-25
L00098,U11863,active,Tampa,FL,360.90,2023-08-09,2023-08-09
L00098,U11863,active,Tampa,FL,360.90,2023-08-09,2026-05-25
L00099,U01973,active,Durham,NC,412.68,2021-06-02,2021-06-02
L00099,U01973,active,Durham,NC,412.68,2021-06-02,2026-05-25
L00100,U11991,active,New York,NY,315.21,2021-08-03,2021-08-03
L00100,U11991,active,New York,NY,315.21,2021-08-03,2026-05-25
L00101,U06846,active,Spokane,WA,260.95,2025-11-08,2025-11-08
L00101,U06846,active,Spokane,WA,260.95,2025-11-08,2026-05-25
L00102,U14078,active,Arlington,VA,269.08,2026-05-09,2026-05-09
L00102,U14078,active,Arlington,VA,269.08,2026-05-09,2026-05-25
L00103,U01862,active,Minneapolis,MN,423.61,2021-07-27,2021-07-27
L00103,U01862,active,Minneapolis,MN,423.61,2021-07-27,2026-05-25
L00104,U14050,active,Durham,NC,262.26,2024-01-20,2024-01-20
L00104,U14050,active,Durham,NC,262.26,2024-01-20,2026-05-25
L00105,U09663,active,Seattle,WA,419.55,2022-11-28,2022-11-28
L00105,U09663,active,Seattle,WA,419.55,2022-11-28,2026-05-25
L00106,U01450,active,Eugene,OR,256.87,2025-01-28,2025-01-28
L00106,U01450,active,Eugene,OR,256.87,2025-01-28,2026-05-25
L00107,U13056,active,Denver,CO,251.57,2022-06-19,2022-06-19
L00107,U13056,active,Denver,CO,251.57,2022-06-19,2026-05-25
L00108,U04441,active,Chicago,IL,371.59,2022-09-07,2022-09-07
L00108,U04441,active,Chicago,IL,371.59,2022-09-07,2026-05-25
L00109,U09269,active,Austin,TX,439.72,2025-03-13,2025-03-13
L00109,U09269,active,Austin,TX,439.72,2025-03-13,2026-05-25
L00110,U00658,active,Pittsburgh,PA,133.79,2026-03-07,2026-03-07
L00110,U00658,active,Pittsburgh,PA,133.79,2026-03-07,2026-05-25
L00111,U07692,active,Portland,OR,402.31,2025-10-02,2025-10-02
L00111,U07692,active,Portland,OR,402.31,2025-10-02,2026-05-25
L00112,U03299,active,Pittsburgh,PA,72.91,2025-09-15,2025-09-15
L00112,U03299,active,Pittsburgh,PA,72.91,2025-09-15,2026-05-25
L00113,U04929,active,Memphis,TN,376.18,2026-04-23,2026-04-23
L00113,U04929,active,Memphis,TN,376.18,2026-04-23,2026-05-25
L00114,U08547,active,Jacksonville,FL,405.73,2021-12-07,2021-12-07
L00114,U08547,active,Jacksonville,FL,405.73,2021-12-07,2026-05-25
L00115,U04828,active,Grand Rapids,MI,52.85,2025-04-14,2025-04-14
L00115,U04828,active,Grand Rapids,MI,52.85,2025-04-14,2026-05-25
L00116,U11459,active,Boston,MA,241.28,2022-03-22,2022-03-22
L00116,U11459,active,Boston,MA,241.28,2022-03-22,2026-05-25
L00117,U11262,active,Salt Lake City,UT,387.06,2022-05-04,2022-05-04
L00117,U11262,active,Salt Lake City,UT,387.06,2022-05-04,2026-05-25
L00118,U11940,active,Cincinnati,OH,417.79,2024-01-16,2024-01-16
L00118,U11940,active,Cincinnati,OH,417.79,2024-01-16,2026-05-25
L00119,U01890,active,Cleveland,OH,120.72,2026-02-11,2026-02-11
L00119,U01890,active,Cleveland,OH,120.72,2026-02-11,2026-05-25
L00120,U14254,active,Boston,MA,52.79,2025-03-07,2025-03-07
L00120,U14254,active,Boston,MA,52.79,2025-03-07,2026-05-25
L00121,U07428,active,Las Vegas,NV,191.95,2024-01-11,2024-01-11
L00121,U07428,active,Las Vegas,NV,191.95,2024-01-11,2026-05-25
L00122,U06331,active,Eugene,OR,448.46,2023-10-10,2023-10-10
L00122,U06331,active,Eugene,OR,448.46,2023-10-10,2026-05-25
L00123,U14030,active,Tucson,AZ,312.34,2025-06-16,2025-06-16
L00123,U14030,active,Tucson,AZ,312.34,2025-06-16,2026-05-25
L00124,U08079,active,Boulder,CO,380.30,2022-11-15,2022-11-15
L00124,U08079,active,Boulder,CO,380.30,2022-11-15,2026-05-25
L00125,U06295,active,Orlando,FL,262.69,2025-08-10,2025-08-10
L00125,U06295,active,Orlando,FL,262.69,2025-08-10,2026-05-25
L00126,U02519,active,Mesa,AZ,203.91,2023-05-25,2023-05-25
L00126,U02519,active,Mesa,AZ,203.91,2023-05-25,2026-05-25
L00127,U00929,active,Phoenix,AZ,60.12,2022-10-03,2022-10-03
L00127,U00929,active,Phoenix,AZ,60.12,2022-10-03,2026-05-25
L00128,U13708,active,Pittsburgh,PA,246.28,2021-07-21,2021-07-21
L00128,U13708,active,Pittsburgh,PA,246.28,2021-07-21,2026-05-25
L00129,U12639,active,Springfield,IL,373.48,2022-09-21,2022-09-21
L00129,U12639,active,Springfield,IL,373.48,2022-09-21,2026-05-25
L00130,U07553,active,Knoxville,TN,213.63,2026-02-03,2026-02-03
L00130,U07553,active,Knoxville,TN,213.63,2026-02-03,2026-05-25
L00131,U06033,active,Savannah,GA,260.11,2023-12-04,2023-12-04
L00131,U06033,active,Savannah,GA,260.11,2023-12-04,2026-05-25
L00132,U02665,active,Denver,CO,377.93,2024-11-05,2024-11-05
L00132,U02665,active,Denver,CO,377.93,2024-11-05,2026-05-25
L00133,U06734,active,Houston,TX,144.33,2024-10-17,2024-10-17
L00133,U06734,active,Houston,TX,144.33,2024-10-17,2026-05-25
L00134,U09616,active,Memphis,TN,317.91,2026-05-25,2026-05-25
L00135,U01035,active,Buffalo,NY,448.52,2024-01-12,2024-01-12
L00135,U01035,active,Buffalo,NY,448.52,2024-01-12,2026-05-25
L00136,U11321,active,Raleigh,NC,357.96,2023-06-12,2023-06-12
L00136,U11321,active,Raleigh,NC,357.96,2023-06-12,2026-05-25
L00137,U10500,active,Las Vegas,NV,398.17,2023-10-15,2023-10-15
L00137,U10500,active,Las Vegas,NV,398.17,2023-10-15,2026-05-25
L00138,U00689,active,Mesa,AZ,149.43,2025-08-18,2025-08-18
L00138,U00689,active,Mesa,AZ,149.43,2025-08-18,2026-05-25
L00140,U08671,active,Springfield,IL,211.38,2025-10-16,2025-10-16
L00140,U08671,active,Springfield,IL,211.38,2025-10-16,2026-05-25
L00141,U01579,active,Austin,TX,284.14,2023-07-01,2023-07-01
L00141,U01579,active,Austin,TX,284.14,2023-07-01,2026-05-25
L00142,U05643,active,Denver,CO,128.00,2021-08-28,2021-08-28
L00142,U05643,active,Denver,CO,128.00,2021-08-28,2026-05-25
L00143,U02639,active,Mesa,AZ,371.70,2025-07-13,2025-07-13
L00143,U02639,active,Mesa,AZ,371.70,2025-07-13,2026-05-25
L00144,U10826,active,Reno,NV,429.75,2025-08-30,2025-08-30
L00144,U10826,active,Reno,NV,429.75,2025-08-30,2026-05-25
L00145,U03102,active,Springfield,IL,346.70,2024-02-03,2024-02-03
L00145,U03102,active,Springfield,IL,346.70,2024-02-03,2026-05-25
L00146,U11498,active,Worcester,MA,228.25,2022-09-08,2022-09-08
L00146,U11498,active,Worcester,MA,228.25,2022-09-08,2026-05-25
L00147,U02772,active,Savannah,GA,324.54,2021-06-05,2021-06-05
L00147,U02772,active,Savannah,GA,324.54,2021-06-05,2026-05-25
L00148,U12623,active,Cincinnati,OH,280.00,2021-09-12,2021-09-12
L00148,U12623,inactive,Cincinnati,OH,280.00,2021-09-12,2026-02-07
L00148,U12623,inactive,Cincinnati,OH,280.00,2021-09-12,2026-05-25
L00149,U02513,active,Pittsburgh,PA,177.71,2026-05-08,2026-05-08
L00149,U02513,active,Pittsburgh,PA,177.71,2026-05-08,2026-05-25
L00150,U14845,active,Provo,UT,116.37,2023-08-20,2023-08-20
L00150,U14845,active,Provo,UT,116.37,2023-08-20,2026-05-25
L00151,U07110,active,San Francisco,CA,134.77,2023-07-25,2023-07-25
L00151,U07110,active,San Francisco,CA,134.77,2023-07-25,2026-05-25
L00152,U14646,active,Minneapolis,MN,368.75,2023-04-16,2023-04-16
L00152,U14646,active,Minneapolis,MN,368.75,2023-04-16,2026-05-25
L00153,U10541,active,San Diego,CA,168.60,2023-04-26,2023-04-26
L00153,U10541,active,San Diego,CA,168.60,2023-04-26,2026-05-25
L00154,U05756,active,Colorado Springs,CO,61.14,2024-06-08,2024-06-08
L00154,U05756,active,Colorado Springs,CO,61.14,2024-06-08,2026-05-25
L00155,U04394,active,Reno,NV,76.84,2021-07-28,2021-07-28
L00155,U04394,active,Reno,NV,76.84,2021-07-28,2026-05-25
L00156,U03751,active,Charlotte,NC,312.66,2025-02-09,2025-02-09
L00156,U03751,active,Charlotte,NC,312.66,2025-02-09,2026-05-25
L00157,U04494,active,Grand Rapids,MI,347.45,2023-09-24,2023-09-24
L00157,U04494,active,Grand Rapids,MI,347.45,2023-09-24,2026-05-25
L00158,U11984,active,Phoenix,AZ,158.18,2023-08-08,2023-08-08
L00158,U11984,active,Phoenix,AZ,158.18,2023-08-08,2026-05-25
L00159,U12939,active,Boulder,CO,362.03,2021-06-21,2021-06-21
L00159,U12939,inactive,Boulder,CO,362.03,2021-06-21,2021-08-25
L00159,U12939,inactive,Boulder,CO,362.03,2021-06-21,2026-05-25
L00160,U05889,active,Denver,CO,88.88,2024-05-25,2024-05-25
L00160,U05889,active,Denver,CO,88.88,2024-05-25,2026-05-25
L00161,U13058,active,Provo,UT,188.14,2025-08-19,2025-08-19
L00161,U13058,active,Provo,UT,188.14,2025-08-19,2026-05-25
L00162,U03172,active,Salt Lake City,UT,290.01,2025-12-16,2025-12-16
L00162,U03172,active,Salt Lake City,UT,290.01,2025-12-16,2026-05-25
L00163,U14861,active,Chicago,IL,157.75,2025-12-07,2025-12-07
L00163,U14861,active,Chicago,IL,157.75,2025-12-07,2026-05-25
L00164,U03352,active,Pittsburgh,PA,424.83,2022-08-16,2022-08-16
L00164,U03352,active,Pittsburgh,PA,424.83,2022-08-16,2026-05-25
L00165,U13513,active,Springfield,IL,234.84,2022-07-26,2022-07-26
L00165,U13513,active,Springfield,IL,234.84,2022-07-26,2026-05-25
L00166,U04987,active,Mesa,AZ,406.77,2021-11-26,2021-11-26
L00166,U04987,active,Mesa,AZ,406.77,2021-11-26,2026-05-25
L00167,U05070,active,Phoenix,AZ,425.93,2021-06-16,2021-06-16
L00167,U05070,active,Phoenix,AZ,425.93,2021-06-16,2026-05-25
L00168,U00557,active,Springfield,IL,272.33,2022-01-27,2022-01-27
L00168,U00557,active,Springfield,IL,272.33,2022-01-27,2026-05-25
L00169,U08034,active,Jacksonville,FL,57.10,2022-01-16,2022-01-16
L00169,U08034,active,Jacksonville,FL,57.10,2022-01-16,2026-05-25
L00170,U00025,active,Cincinnati,OH,217.74,2024-05-18,2024-05-18
L00170,U00025,active,Cincinnati,OH,217.74,2024-05-18,2026-05-25
L00171,U00473,active,Arlington,VA,377.81,2022-05-09,2022-05-09
L00171,U00473,active,Arlington,VA,377.81,2022-05-09,2026-05-25
L00172,U03209,active,Philadelphia,PA,272.37,2026-05-02,2026-05-02
L00172,U03209,active,Philadelphia,PA,272.37,2026-05-02,2026-05-25
L00173,U07355,active,Savannah,GA,309.54,2021-06-21,2021-06-21
L00173,U07355,active,Savannah,GA,309.54,2021-06-21,2026-05-25
L00174,U14368,active,Tucson,AZ,216.32,2023-09-08,2023-09-08
L00174,U14368,active,Tucson,AZ,216.32,2023-09-08,2026-05-25
L00175,U12357,active,Savannah,GA,232.93,2023-05-22,2023-05-22
L00175,U12357,active,Savannah,GA,232.93,2023-05-22,2026-05-25
L00176,U00309,active,Arlington,VA,157.68,2023-12-01,2023-12-01
L00176,U00309,active,Arlington,VA,157.68,2023-12-01,2026-05-25
L00177,U10169,active,Knoxville,TN,279.88,2026-05-20,2026-05-20
L00177,U10169,active,Knoxville,TN,279.88,2026-05-20,2026-05-25
L00178,U00111,active,Phoenix,AZ,340.90,2022-07-14,2022-07-14
L00178,U00111,active,Phoenix,AZ,340.90,2022-07-14,2026-05-25
L00179,U02138,active,Saint Paul,MN,410.09,2025-09-05,2025-09-05
L00179,U02138,active,Saint Paul,MN,410.09,2025-09-05,2026-05-25
L00180,U13591,active,Worcester,MA,290.75,2021-07-02,2021-07-02
L00180,U13591,active,Worcester,MA,290.75,2021-07-02,2026-05-25
L00181,U08814,active,Portland,OR,329.76,2024-01-15,2024-01-15
L00181,U08814,active,Portland,OR,329.76,2024-01-15,2026-05-25
L00182,U09914,active,Mesa,AZ,77.26,2023-09-17,2023-09-17
L00182,U09914,active,Mesa,AZ,77.26,2023-09-17,2026-05-25
L00183,U01071,active,Knoxville,TN,200.97,2023-04-28,2023-04-28
L00183,U01071,active,Knoxville,TN,200.97,2023-04-28,2026-05-25
L00184,U12489,active,San Francisco,CA,202.36,2024-05-13,2024-05-13
L00184,U12489,active,San Francisco,CA,202.36,2024-05-13,2026-05-25
L00185,U03169,active,Columbus,OH,156.78,2025-06-18,2025-06-18
L00185,U03169,active,Columbus,OH,156.78,2025-06-18,2026-05-25
L00186,U11098,active,Arlington,VA,220.79,2023-09-27,2023-09-27
L00186,U11098,active,Arlington,VA,220.79,2023-09-27,2026-05-25
L00187,U12429,active,Miami,FL,304.72,2022-07-30,2022-07-30
L00187,U12429,active,Miami,FL,304.72,2022-07-30,2026-05-25
L00188,U08953,active,Salt Lake City,UT,91.31,2021-08-30,2021-08-30
L00188,U08953,active,Salt Lake City,UT,91.31,2021-08-30,2026-05-25
L00189,U10602,active,Durham,NC,328.61,2025-12-31,2025-12-31
L00189,U10602,active,Durham,NC,328.61,2025-12-31,2026-05-25
L00190,U04593,active,Memphis,TN,396.94,2023-06-11,2023-06-11
L00190,U04593,active,Memphis,TN,396.94,2023-06-11,2026-05-25
L00191,U13726,active,Saint Paul,MN,81.38,2025-07-16,2025-07-16
