reservation_id,user_id,listing_id,reservation_date,duration_months,amount
R001676,U00839,L03225,2021-11-12,1,449.42
R014443,U07484,L04217,2021-11-12,3,1240.08
R018668,U09665,L02833,2021-11-12,1,445.12
R008589,U04413,L02239,2021-11-13,1,264.28
R024902,U12849,L04613,2021-11-13,1,263.88
R021155,U10939,L04817,2021-11-14,1,177.88
R013990,U07212,L01962,2021-11-15,1,152.13
R026081,U13448,L04608,2021-11-15,2,132.80
R026604,U13703,L04449,2021-11-15,2,353.36
R018485,U09560,L04292,2021-11-16,1,284.88
R024836,U12821,L00586,2021-11-16,6,1276.44
R021575,U11146,L04809,2021-11-17,3,500.10
R024026,U12409,L03541,2021-11-17,2,606.20
R012618,U06459,L03622,2021-11-18,1,440.91
R012163,U06227,L02321,2021-11-19,1,87.56
R018421,U09529,L03712,2021-11-19,2,346.74
R028869,U14820,L05012,2021-11-19,3,1145.73
R000960,U00458,L00638,2021-11-20,6,343.20
R001402,U00704,L02331,2021-11-22,2,837.74
R019308,U09994,L05889,2021-11-22,6,1912.74
R018455,U09546,L03246,2021-11-23,3,353.76
R018610,U09636,L00091,2021-11-23,1,224.26
R010412,U05365,L02170,2021-11-24,12,2787.84
R024200,U12506,L05087,2021-11-24,1,274.75
R000178,U00086,L04836,2021-11-25,1,411.20
R016794,U08681,L03715,2021-11-25,6,1284.00
R010981,U05653,L00642,2021-11-26,12,2565.48
R022078,U11389,L01732,2021-11-26,1,336.84
R017157,U08880,L00686,2021-11-27,2,312.86
R011657,U05995,L04817,2021-11-28,1,177.88
R012977,U06660,L01506,2021-11-28,3,1074.48
R001760,U00885,L05208,2021-11-30,1,324.34
R018860,U09770,L02971,2021-11-30,6,1172.28
R028537,U14661,L01790,2021-11-30,2,277.06
R028693,U14741,L03065,2021-11-30,1,69.58
R006922,U03567,L02574,2021-12-02,2,626.42
R002821,U01446,L03237,2021-12-03,1,370.35
R002929,U01500,L04020,2021-12-04,2,688.56
R014769,U07645,L05215,2021-12-04,3,739.65
R019888,U10300,L04618,2021-12-04,2,333.46
R003596,U01833,L05309,2021-12-05,1,268.72
R016422,U08488,L03236,2021-12-06,1,258.65
R003746,U01916,L03888,2021-12-07,1,385.85
R021535,U11128,L01140,2021-12-07,2,613.10
R009439,U04868,L02187,2021-12-08,2,310.42
R003102,U01585,L05275,2021-12-09,12,3348.24
R000981,U00474,L03306,2021-12-10,1,98.20
R007439,U03821,L05108,2021-12-10,1,347.49
R010195,U05251,L00879,2021-12-10,12,949.92
R001712,U00859,L02968,2021-12-11,1,446.16
R007503,U03861,L00902,2021-12-11,6,2199.66
R020334,U10526,L03236,2021-12-11,6,1551.90
R004365,U02251,L04950,2021-12-12,6,704.76
R004653,U02398,L05000,2021-12-12,1,157.97
R022116,U11409,L01349,2021-12-12,1,427.79
R012227,U06258,L02308,2021-12-13,3,619.29
R021680,U11200,L01720,2021-12-14,6,1879.74
R027175,U14002,L03629,2021-12-14,2,444.12
R017357,U08980,L02157,2021-12-16,6,2516.58
R017452,U09032,L03237,2021-12-16,2,740.70
R008170,U04192,L01713,2021-12-17,3,245.49
R010946,U05632,L04074,2021-12-18,2,649.48
R014020,U07233,L04240,2021-12-18,2,529.30
R015394,U07949,L02062,2021-12-18,3,1182.39
R011767,U06043,L02409,2021-12-19,1,316.87
R015574,U08043,L04514,2021-12-19,2,628.20
R025949,U13374,L04388,2021-12-20,2,497.94
R019398,U10039,L04793,2021-12-21,3,1263.78
R024301,U12548,L04677,2021-12-21,2,827.36
R026103,U13460,L03373,2021-12-21,6,659.94
R006560,U03379,L02015,2021-12-23,3,1073.10
R027678,U14260,L03407,2021-12-23,3,1342.80
R003747,U01916,L05644,2021-12-24,3,976.32
R000966,U00464,L04246,2021-12-25,1,343.50
R028870,U14820,L04829,2021-12-25,12,3080.04
R014383,U07439,L00698,2021-12-27,12,4328.28
R023134,U11942,L03373,2021-12-27,6,659.94
R025322,U13067,L05577,2021-12-27,2,649.90
R025427,U13118,L05234,2021-12-27,6,361.14
R000188,U00094,L01058,2021-12-28,1,211.31
R009562,U04934,L01115,2021-12-28,1,441.28
R011561,U05945,L05259,2021-12-28,3,860.37
R021398,U11069,L05215,2021-12-28,6,1479.30
R001759,U00885,L03631,2021-12-29,1,379.87
R002001,U01024,L00376,2021-12-29,2,794.52
R013167,U06768,L00159,2021-12-29,2,724.06
R013249,U06809,L05598,2021-12-30,3,783.27
R016960,U08765,L00188,2021-12-30,2,182.62
R018033,U09326,L04476,2021-12-30,2,362.90
R016919,U08748,L05087,2021-12-31,1,274.75
R014733,U07624,L01922,2022-01-01,1,157.20
R018123,U09386,L03859,2022-01-01,2,242.94
R028256,U14521,L04954,2022-01-01,1,371.43
R008855,U04563,L05754,2022-01-02,6,1076.58
R009437,U04868,L03162,2022-01-02,3,931.68
R006697,U03442,L04453,2022-01-03,1,186.53
R007808,U04010,L02366,2022-01-03,1,162.88
R017019,U08802,L02635,2022-01-03,6,1175.76
R010905,U05611,L05760,2022-01-04,3,1116.93
R012076,U06186,L04999,2022-01-04,1,380.65
R019353,U10014,L05129,2022-01-04,6,1997.10
R024715,U12754,L05660,2022-01-04,3,702.21
R000474,U00232,L02762,2022-01-05,1,305.55
R009461,U04882,L01804,2022-01-05,2,744.82
R027449,U14127,L05024,2022-01-05,1,445.10
R006534,U03364,L01186,2022-01-06,2,782.66
R011970,U06133,L02574,2022-01-06,12,3758.52
R015575,U08043,L00870,2022-01-06,1,288.00
R017675,U09133,L00173,2022-01-06,12,3714.48
R000104,U00053,L00382,2022-01-07,1,416.75
R001585,U00799,L03152,2022-01-07,1,327.62
R012594,U06448,L02077,2022-01-07,1,125.47
R004234,U02177,L02029,2022-01-08,6,933.54
R028066,U14433,L02620,2022-01-08,2,135.84
R002527,U01296,L04269,2022-01-09,1,399.71
R026812,U13815,L05815,2022-01-09,2,727.08
R003799,U01946,L04338,2022-01-10,6,1114.86
R007056,U03629,L04476,2022-01-10,12,2177.40
R025078,U12940,L01195,2022-01-11,1,174.33
R019004,U09833,L05769,2022-01-13,2,558.20
R020575,U10656,L02613,2022-01-13,2,567.06
R023325,U12042,L00980,2022-01-13,1,238.26
R007573,U03892,L00054,2022-01-15,1,109.90
R014614,U07561,L03570,2022-01-17,12,4280.64
R023791,U12283,L00638,2022-01-17,1,57.20
R010641,U05475,L01066,2022-01-18,12,4225.08
R018588,U09621,L00767,2022-01-18,1,111.62
R019093,U09879,L05934,2022-01-18,1,166.59
R019655,U10182,L04962,2022-01-18,2,647.22
R021175,U10948,L03427,2022-01-18,3,986.13
R002235,U01150,L03829,2022-01-19,1,307.50
R004261,U02191,L00481,2022-01-19,2,599.40
R020408,U10567,L04253,2022-01-19,2,826.20
R003593,U01833,L03979,2022-01-20,12,4390.32
R013285,U06831,L05395,2022-01-21,1,430.73
R018249,U09440,L05504,2022-01-21,1,139.63
R023409,U12081,L01526,2022-01-21,1,268.90
R001754,U00884,L03017,2022-01-22,2,199.76
R020516,U10629,L01159,2022-01-22,6,1774.26
R009372,U04830,L01506,2022-01-23,2,716.32
R024699,U12749,L00024,2022-01-23,2,643.30
R028825,U14801,L00213,2022-01-23,3,1265.28
R004384,U02262,L05530,2022-01-24,1,216.20
R022131,U11418,L02721,2022-01-24,3,516.15
R014744,U07632,L02788,2022-01-25,1,190.45
R014835,U07676,L03707,2022-01-25,1,416.25
R019322,U10002,L01117,2022-01-25,1,244.46
R019586,U10143,L01397,2022-01-27,1,296.40
R000087,U00047,L05014,2022-01-29,1,394.66
R013026,U06694,L04237,2022-01-30,6,1753.32
R013423,U06902,L04906,2022-01-30,12,1285.20
R024992,U12891,L00586,2022-01-30,3,638.22
R013668,U07037,L03975,2022-01-31,1,53.29
R019062,U09865,L00800,2022-01-31,1,379.02
R015278,U07894,L03527,2022-02-01,1,369.78
R023589,U12178,L05986,2022-02-01,6,1354.32
R013191,U06783,L01560,2022-02-02,2,796.24
R023008,U11874,L02438,2022-02-02,1,355.78
R026802,U13809,L02465,2022-02-02,1,100.00
R027069,U13959,L04468,2022-02-02,3,464.64
R027422,U14111,L01159,2022-02-02,3,887.13
R027682,U14260,L00931,2022-02-02,1,417.40
R004680,U02414,L03039,2022-02-03,1,282.17
R006207,U03196,L05849,2022-02-03,1,105.72
R020138,U10419,L02122,2022-02-03,1,355.98
R016328,U08426,L02239,2022-02-04,3,792.84
R019906,U10307,L05012,2022-02-04,3,1145.73
R003371,U01713,L01776,2022-02-05,2,534.76
R004170,U02143,L01063,2022-02-05,2,169.42
R007794,U04004,L02542,2022-02-05,2,724.60
R005137,U02671,L03700,2022-02-06,1,320.25
R024126,U12468,L04921,2022-02-06,2,658.50
R014366,U07431,L00218,2022-02-07,1,104.06
R002892,U01480,L03940,2022-02-08,2,562.58
R008242,U04231,L04149,2022-02-08,2,425.28
R008362,U04298,L01679,2022-02-08,1,277.48
R018391,U09512,L02541,2022-02-08,1,331.65
R002927,U01500,L02270,2022-02-09,1,194.65
R005031,U02622,L05405,2022-02-09,3,1140.69
R015644,U08074,L05357,2022-02-09,2,840.50
R002626,U01356,L01495,2022-02-10,1,240.92
R010762,U05539,L00167,2022-02-10,1,425.93
R018858,U09769,L01140,2022-02-10,1,306.55
R023598,U12181,L04640,2022-02-11,1,89.46
R003522,U01792,L04677,2022-02-12,1,413.68
R010437,U05375,L05928,2022-02-12,2,633.38
R012577,U06435,L04677,2022-02-12,3,1241.04
R027363,U14084,L02544,2022-02-12,6,1139.28
R010224,U05270,L02857,2022-02-13,1,420.54
R023629,U12196,L00484,2022-02-13,2,685.78
R013281,U06828,L03318,2022-02-14,2,876.66
R023353,U12054,L00147,2022-02-14,2,649.08
R014488,U07502,L05711,2022-02-15,1,286.14
R002095,U01073,L02785,2022-02-16,2,804.06
R006851,U03528,L04772,2022-02-16,2,251.66
R011809,U06058,L03565,2022-02-16,1,164.44
R028698,U14743,L03410,2022-02-16,1,135.75
R001265,U00628,L04827,2022-02-17,1,362.08
R004991,U02608,L05774,2022-02-17,1,273.72
R017252,U08932,L02398,2022-02-18,1,225.47
R008150,U04178,L04169,2022-02-19,2,372.52
R019824,U10271,L00142,2022-02-19,1,128.00
R017547,U09069,L05263,2022-02-20,3,736.65
R017339,U08972,L05495,2022-02-21,1,245.44
R008563,U04406,L00917,2022-02-22,6,1676.10
R017299,U08957,L02304,2022-02-22,2,442.54
R023933,U12356,L04052,2022-02-22,6,1607.46
R002857,U01463,L03246,2022-02-23,1,117.92
R027265,U14036,L04208,2022-02-23,2,671.46
R000010,U00007,L02843,2022-02-24,1,101.66
R000619,U00303,L05841,2022-02-24,1,282.28
R006760,U03474,L04282,2022-02-24,12,3646.32
R014921,U07715,L05299,2022-02-24,2,448.52
R001677,U00839,L00037,2022-02-25,2,106.14
R002954,U01513,L04024,2022-02-25,2,178.76
R003526,U01793,L01573,2022-02-25,12,950.88
R008246,U04233,L05541,2022-02-25,12,1124.16
R008813,U04542,L04585,2022-02-25,1,141.57
R022882,U11796,L01066,2022-02-25,1,352.09
R001425,U00719,L05282,2022-02-26,1,57.26
R012488,U06398,L00166,2022-02-26,2,813.54
R026023,U13419,L03595,2022-02-26,2,888.76
R013025,U06694,L02252,2022-02-27,12,4919.88
R013477,U06940,L04003,2022-02-27,6,1673.22
R017212,U08909,L05686,2022-02-27,3,1294.17
R022961,U11845,L00664,2022-02-27,3,528.57
R003664,U01872,L04050,2022-02-28,1,115.03
R015393,U07949,L01223,2022-03-01,1,58.00
R005323,U02763,L05502,2022-03-02,2,799.12
R003828,U01958,L02139,2022-03-03,6,1758.00
R011478,U05898,L01768,2022-03-03,1,64.14
R012376,U06337,L04653,2022-03-03,2,457.72
R025174,U12998,L04178,2022-03-03,1,185.60
R026245,U13531,L05822,2022-03-03,2,603.02
R005599,U02891,L05583,2022-03-04,1,235.54
R012677,U06484,L03373,2022-03-04,1,109.99
R019614,U10158,L03008,2022-03-04,1,430.63
R002863,U01465,L01015,2022-03-05,3,1307.76
R013301,U06840,L04059,2022-03-05,3,404.94
R023248,U12003,L04829,2022-03-06,1,256.67
R010844,U05580,L03344,2022-03-07,2,659.44
R012584,U06440,L03811,2022-03-07,2,301.60
R027962,U14380,L04773,2022-03-07,3,629.25
R028692,U14741,L05489,2022-03-07,3,880.02
R028315,U14557,L00817,2022-03-08,3,528.27
R018038,U09330,L05977,2022-03-09,6,2149.44
R018665,U09664,L02797,2022-03-09,1,108.98
R001143,U00559,L02130,2022-03-10,6,1564.02
R012061,U06177,L02187,2022-03-10,1,155.21
R018407,U09522,L03942,2022-03-10,6,308.64
R023136,U11942,L00642,2022-03-10,2,427.58
R010950,U05634,L00079,2022-03-11,1,118.07
R015562,U08034,L03342,2022-03-11,1,315.34
R016078,U08308,L05094,2022-03-11,12,2865.36
R022289,U11505,L00344,2022-03-11,2,215.50
R005800,U02995,L03538,2022-03-13,2,653.58
R009546,U04927,L02180,2022-03-13,12,2974.80
R016907,U08744,L01678,2022-03-13,3,410.91
R010070,U05193,L03811,2022-03-14,1,150.80
R010091,U05203,L03715,2022-03-14,12,2568.00
R023012,U11876,L01159,2022-03-14,1,295.71
R023492,U12128,L05371,2022-03-14,1,175.04
R003425,U01744,L03362,2022-03-15,6,1099.62
R006490,U03344,L02753,2022-03-15,1,187.15
R014095,U07284,L03582,2022-03-15,1,330.67
R020497,U10616,L04710,2022-03-15,2,642.76
R023694,U12228,L00099,2022-03-15,2,825.36
R005356,U02780,L04253,2022-03-16,1,413.10
R006663,U03426,L02250,2022-03-16,1,184.80
R011990,U06143,L00917,2022-03-16,3,838.05
R015684,U08099,L00378,2022-03-16,1,272.03
R014798,U07658,L05648,2022-03-17,12,4809.48
R017285,U08953,L01249,2022-03-17,1,278.47
R019458,U10081,L01350,2022-03-17,3,1268.61
R024972,U12880,L03953,2022-03-17,6,519.30
R012487,U06398,L01721,2022-03-18,2,664.28
R028501,U14643,L03527,2022-03-18,1,369.78
R004349,U02241,L01477,2022-03-19,2,709.46
R017783,U09188,L04677,2022-03-19,1,413.68
R019037,U09856,L02833,2022-03-19,1,445.12
R026154,U13486,L01570,2022-03-19,1,315.12
R017272,U08945,L04687,2022-03-20,12,3216.60
R023045,U11887,L03622,2022-03-20,1,440.91
R026683,U13738,L03464,2022-03-20,3,1297.32
R022202,U11462,L00248,2022-03-21,1,326.60
R018348,U09488,L02857,2022-03-22,2,841.08
R027703,U14270,L04316,2022-03-23,3,1139.94
R004089,U02101,L05581,2022-03-24,1,413.36
R006734,U03463,L00971,2022-03-24,1,224.57
R014367,U07431,L02130,2022-03-24,1,260.67
R025639,U13226,L05724,2022-03-24,6,2600.28
R012157,U06223,L01846,2022-03-25,6,2218.68
R021278,U10996,L01445,2022-03-25,3,1217.61
R001086,U00527,L01157,2022-03-26,3,1204.11
R003955,U02020,L02746,2022-03-26,1,118.44
R018294,U09462,L02716,2022-03-26,1,310.71
R028130,U14467,L05000,2022-03-26,2,315.94
R005077,U02640,L03371,2022-03-27,2,295.54
R019031,U09851,L02296,2022-03-27,1,198.92
R023354,U12054,L02568,2022-03-27,1,437.12
R003821,U01954,L01212,2022-03-28,1,255.19
R010036,U05168,L02525,2022-03-28,3,490.86
R014000,U07217,L00892,2022-03-28,2,790.78
R025230,U13024,L00269,2022-03-28,3,216.12
R002196,U01131,L02069,2022-03-29,3,662.46
R020186,U10443,L00166,2022-03-29,1,406.77
R024185,U12497,L01933,2022-03-29,1,249.06
R019620,U10163,L05119,2022-03-30,6,2046.06
R019841,U10280,L01454,2022-03-30,1,66.01
R021983,U11342,L01849,2022-03-30,2,846.42
R026688,U13743,L03362,2022-03-30,3,549.81
R002586,U01334,L02348,2022-04-01,1,169.13
R002677,U01379,L00142,2022-04-01,1,128.00
R013928,U07190,L01197,2022-04-01,1,252.09
R018264,U09446,L00821,2022-04-01,1,64.29
R018697,U09677,L01016,2022-04-01,2,495.30
R026947,U13885,L02339,2022-04-01,6,568.50
R028699,U14743,L05234,2022-04-01,2,120.38
R000533,U00267,L05494,2022-04-02,3,823.11
R018883,U09780,L01713,2022-04-02,6,490.98
R027981,U14389,L00845,2022-04-02,3,625.53
R017293,U08954,L05365,2022-04-03,2,192.34
R020867,U10802,L02215,2022-04-03,2,435.86
R024903,U12849,L03582,2022-04-03,1,330.67
R025296,U13055,L02153,2022-04-03,1,110.83
R011614,U05968,L04591,2022-04-04,2,230.20
R025903,U13352,L03843,2022-04-04,3,887.55
R027227,U14022,L01155,2022-04-04,6,1672.68
R005324,U02763,L03631,2022-04-05,3,1139.61
R008451,U04349,L02252,2022-04-05,1,409.99
R017154,U08880,L04669,2022-04-05,2,367.06
R018435,U09537,L04330,2022-04-05,3,901.14
R020197,U10449,L04327,2022-04-05,1,164.06
R015277,U07894,L03528,2022-04-06,1,297.12
R010223,U05270,L05376,2022-04-07,3,827.76
R015578,U08043,L04607,2022-04-07,12,3857.28
R010574,U05446,L00433,2022-04-08,1,233.84
R024823,U12817,L05747,2022-04-08,1,116.26
R026870,U13846,L03538,2022-04-08,2,653.58
R004880,U02546,L05333,2022-04-09,1,96.53
R004362,U02248,L01536,2022-04-10,1,341.01
R007021,U03616,L05234,2022-04-10,2,120.38
R003984,U02039,L04217,2022-04-11,1,413.36
R019696,U10204,L04332,2022-04-11,12,4171.56
R007083,U03639,L03546,2022-04-12,2,322.68
R001789,U00906,L02620,2022-04-13,3,203.76
R007732,U03969,L03003,2022-04-14,1,104.07
R011175,U05738,L01386,2022-04-14,12,4220.16
R023632,U12200,L00509,2022-04-14,3,537.60
R002856,U01463,L05655,2022-04-16,2,725.78
R003512,U01786,L01223,2022-04-16,2,116.00
R006677,U03433,L04431,2022-04-16,6,405.60
R011184,U05742,L04386,2022-04-16,1,440.96
R028269,U14528,L04091,2022-04-16,3,225.48
R015564,U08034,L02456,2022-04-17,2,668.32
R019910,U10311,L00248,2022-04-17,2,653.20
R004813,U02504,L03634,2022-04-18,3,689.85
R006401,U03305,L01472,2022-04-18,2,132.70
R016971,U08775,L04698,2022-04-18,2,110.22
R022538,U11632,L01512,2022-04-20,2,824.68
R001257,U00624,L00920,2022-04-21,12,662.88
R008454,U04349,L02772,2022-04-21,2,528.26
R012723,U06509,L01197,2022-04-21,1,252.09
R009237,U04759,L04196,2022-04-22,2,786.30
R014510,U07510,L01201,2022-04-22,1,274.05
R018579,U09612,L04874,2022-04-22,6,1596.24
R018729,U09694,L01277,2022-04-22,1,203.88
R023641,U12204,L01808,2022-04-22,1,272.13
R028772,U14774,L04196,2022-04-22,2,786.30
R007176,U03690,L05508,2022-04-24,1,356.29
R019863,U10290,L04104,2022-04-24,2,775.86
R021116,U10923,L04059,2022-04-24,1,134.98
R021530,U11127,L03873,2022-04-24,1,400.05
R024713,U12754,L01397,2022-04-24,12,3556.80
R003663,U01870,L05096,2022-04-25,2,809.10
R025258,U13034,L02390,2022-04-25,1,396.28
R029050,U14908,L03277,2022-04-25,3,1161.24
R007627,U03923,L01127,2022-04-26,2,843.70
R018491,U09563,L02752,2022-04-26,1,219.02
R027048,U13953,L05808,2022-04-26,3,819.96
R015811,U08151,L02981,2022-04-27,12,681.84
R017943,U09281,L05141,2022-04-27,1,90.83
R001424,U00719,L04607,2022-04-28,1,321.44
R003992,U02045,L04084,2022-04-28,1,166.10
R005056,U02628,L05405,2022-04-28,1,380.23
R013320,U06850,L04957,2022-04-28,2,501.60
R018560,U09600,L00892,2022-04-28,6,2372.34
R024662,U12732,L01127,2022-04-28,3,1265.55
R019994,U10350,L00887,2022-04-29,3,947.16
R025743,U13276,L05754,2022-04-30,2,358.86
R014668,U07587,L03514,2022-05-01,6,1068.18
R004773,U02473,L03114,2022-05-02,1,244.39
R011553,U05941,L04282,2022-05-02,12,3646.32
R013087,U06727,L03055,2022-05-02,3,1007.94
R016027,U08270,L02217,2022-05-02,6,797.76
R024270,U12534,L05372,2022-05-02,3,1063.44
R003367,U01711,L04451,2022-05-03,1,95.40
R023831,U12306,L02355,2022-05-03,1,215.18
R025426,U13118,L00914,2022-05-04,3,890.07
R018027,U09323,L03982,2022-05-05,3,939.87
R018205,U09418,L00621,2022-05-05,3,521.76
R027699,U14270,L05252,2022-05-05,1,276.01
R001850,U00942,L04848,2022-05-06,2,807.24
R018686,U09672,L05360,2022-05-06,12,1810.56
R025037,U12917,L01717,2022-05-07,2,169.72
R017310,U08963,L05581,2022-05-08,2,826.72
R017337,U08972,L00688,2022-05-08,2,558.60
R019525,U10115,L00963,2022-05-08,1,194.29
R027051,U13953,L00037,2022-05-08,2,106.14
R015337,U07922,L01182,2022-05-09,2,627.82
R022552,U11637,L05119,2022-05-09,2,682.02
R000361,U00177,L04011,2022-05-10,3,297.63
R015313,U07911,L04282,2022-05-10,1,303.86
R018819,U09746,L00767,2022-05-10,6,669.72
R002517,U01291,L01472,2022-05-11,1,66.35
R011710,U06015,L02588,2022-05-11,6,987.84
R023800,U12289,L02217,2022-05-11,1,132.96
R025955,U13376,L01777,2022-05-11,2,147.16
R004095,U02103,L05162,2022-05-12,3,896.76
R009722,U05015,L05760,2022-05-12,3,1116.93
R006287,U03236,L02355,2022-05-13,3,645.54
R015444,U07975,L02301,2022-05-13,1,251.78
R020576,U10656,L02202,2022-05-13,2,890.62
R023229,U11998,L03779,2022-05-13,1,82.83
R023907,U12346,L04269,2022-05-13,1,399.71
R008401,U04319,L03297,2022-05-14,2,698.22
R011501,U05910,L05657,2022-05-14,2,845.00
R020209,U10455,L02157,2022-05-14,1,419.43
R000663,U00327,L02855,2022-05-15,2,188.22
R009821,U05071,L04861,2022-05-15,2,737.22
R011391,U05849,L02008,2022-05-15,6,1917.66
R011832,U06067,L01812,2022-05-15,2,213.08
R013084,U06727,L02277,2022-05-15,2,301.68
